,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,3461223.0,3461223.0,3198149.0,2893617.0,2714474.0
1,Cost of Revenue,1268956.0,1268956.0,1132672.0,987624.0,953485.0
2,Gross Profit,2192267.0,2192267.0,2065477.0,1905993.0,1760989.0
3,Operating Expense,1385065.0,1385065.0,1363803.0,1328002.0,1344937.0
4,Operating Income,807202.0,807202.0,701674.0,577991.0,416052.0
5,Net Non Operating Interest Income Expense,56712.0,56712.0,39998.0,15009.0,16262.0
6,Other Income Expense,22269.0,22269.0,45594.0,30501.0,56701.0
7,Pretax Income,728221.0,728221.0,616082.0,532481.0,343089.0
8,Tax Provision,62571.0,62571.0,45922.0,53350.0,44716.0
9,Earnings from Equity Interest Net of Tax,14008.0,14008.0,13106.0,1096.0,0
10,Net Income Common Stockholders,651642.0,651642.0,557054.0,478035.0,298373.0
11,Diluted NI Available to Com Stockholders,651642.0,651642.0,557054.0,478035.0,298373.0
12,Basic EPS,0,0,3.43,2.94,1.78
13,Diluted EPS,0,0,3.37,2.9,1.76
14,Basic Average Shares,0,0,162490.0,162706.0,167312.0
15,Diluted Average Shares,0,0,165213.0,164573.0,169188.0
16,Total Operating Income as Reported,783148.0,783148.0,658534.0,548918.0,362499.0
17,Total Expenses,2654021.0,2654021.0,2496475.0,2315626.0,2298422.0
18,Net Income from Continuing & Discontinued Operation,651642.0,651642.0,557054.0,478035.0,298373.0
19,Normalized Income,673629.0,673629.0,596959.0,504201.0,344964.0
20,Interest Income,15620.0,15620.0,29122.0,34355.0,26940.0
21,Interest Expense,72332.0,72332.0,69120.0,49364.0,43202.0
22,Net Interest Income,56712.0,56712.0,39998.0,15009.0,16262.0
23,EBIT,800553.0,800553.0,685202.0,581845.0,386291.0
24,EBITDA,1351185.0,0,0,0,0
25,Reconciled Cost of Revenue,848277.0,848277.0,779194.0,664118.0,632290.0
26,Reconciled Depreciation,550632.0,550632.0,478389.0,440674.0,434520.0
27,Net Income from Continuing Operation Net Minority Interest,651642.0,651642.0,557054.0,478035.0,298373.0
28,Total Unusual Items Excluding Goodwill,24054.0,24054.0,43140.0,29073.0,53553.0
29,Total Unusual Items,24054.0,24054.0,43140.0,29073.0,53553.0
30,Normalized EBITDA,1375239.0,1375239.0,1206731.0,1051592.0,874364.0
31,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
32,Tax Effect of Unusual Items,2067.0,2067.0,3235.0,2907.0,6962.0
