,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,50418000.0,50418000.0,44791000.0,44675000.0,39815000.0
1,Total Expenses,42188000.0,42188000.0,37832000.0,38586000.0,37071000.0
2,Pretax Income,6448000.0,6448000.0,6959000.0,6089000.0,2744000.0
3,Tax Provision,1289000.0,1289000.0,1383000.0,1242000.0,492000.0
4,Net Income Common Stockholders,1485000.0,1485000.0,5461000.0,4678000.0,2104000.0
5,Diluted NI Available to Com Stockholders,1485000.0,1485000.0,5461000.0,4678000.0,2104000.0
6,Basic EPS,0,0,17.53,14.25,5.78
7,Diluted EPS,0,0,17.31,14.03,5.7
8,Basic Average Shares,0,0,311600.0,328200.0,347800.0
9,Diluted Average Shares,0,0,315500.0,333500.0,353200.0
10,Net Income from Continuing & Discontinued Operation,1599000.0,1599000.0,5576000.0,4847000.0,2252000.0
11,Normalized Income,5328000.0,5328000.0,5780255.0,4959236.0,2315217.0
12,EBIT,6778000.0,6778000.0,7277000.0,6416000.0,3076000.0
13,Reconciled Depreciation,1086000.0,1086000.0,686000.0,647000.0,511000.0
14,Net Income from Continuing Operation Net Minority Interest,5192000.0,5192000.0,5576000.0,4847000.0,2252000.0
15,Total Unusual Items Excluding Goodwill,170000.0,170000.0,255000.0,141000.0,77000.0
16,Total Unusual Items,170000.0,170000.0,255000.0,141000.0,77000.0
17,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
18,Tax Effect of Unusual Items,34000.0,34000.0,50745.0,28764.0,13783.0
19,Interest Expense,330000.0,330000.0,318000.0,327000.0,332000.0
