,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,13489000.0,13489000.0,11965000.0,12852000.0,12893000.0
1,Total Expenses,10139000.0,10139000.0,10134000.0,10620000.0,10409000.0
2,Pretax Income,3350000.0,3350000.0,1831000.0,2232000.0,2484000.0
3,Tax Provision,590000.0,590000.0,297000.0,339000.0,386000.0
4,Net Income Common Stockholders,2760000.0,2760000.0,1534000.0,1893000.0,2098000.0
5,Diluted NI Available to Com Stockholders,2760000.0,2760000.0,1534000.0,1893000.0,2098000.0
6,Basic EPS,0,23.53,12.39,14.12,14.41
7,Diluted EPS,0,22.99,12.2,13.92,14.2
8,Basic Average Shares,0,0,123800.0,134100.0,145600.0
9,Diluted Average Shares,0,0,125700.0,136000.0,147700.0
10,Net Income from Continuing & Discontinued Operation,2760000.0,2760000.0,1534000.0,1893000.0,2098000.0
11,Normalized Income,2760000.0,2760000.0,1534000.0,1712376.0,2098000.0
12,EBIT,3541000.0,3541000.0,1993000.0,2446000.0,2729000.0
13,Reconciled Depreciation,0,0,207000.0,183000.0,198000.0
14,Net Income from Continuing Operation Net Minority Interest,2760000.0,2760000.0,1534000.0,1893000.0,2098000.0
15,Total Unusual Items Excluding Goodwill,0,0,0.0,213000.0,0
16,Total Unusual Items,0,0,0.0,213000.0,0
17,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
18,Tax Effect of Unusual Items,0.0,0.0,0.0,32376.0,0.0
19,Interest Expense,191000.0,191000.0,162000.0,214000.0,245000.0
