,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,1906715.0,1906715.0,1681297.0,1515892.0,1293636.0
1,Cost of Revenue,257984.0,257984.0,225264.0,166273.0,155885.0
2,Gross Profit,1648731.0,1648731.0,1456033.0,1349619.0,1137751.0
3,Operating Expense,1135460.0,1135460.0,959677.0,834579.0,661177.0
4,Operating Income,513271.0,513271.0,496356.0,515040.0,476574.0
5,Net Non Operating Interest Income Expense,10327.0,10327.0,5915.0,9335.0,11419.0
6,Other Income Expense,12410.0,12410.0,3484.0,1792.0,908.0
7,Pretax Income,515354.0,515354.0,493925.0,522583.0,487085.0
8,Tax Provision,60727.0,60727.0,60038.0,71288.0,67710.0
9,Net Income Common Stockholders,454627.0,454627.0,433887.0,451295.0,419375.0
10,Diluted NI Available to Com Stockholders,454627.0,454627.0,433887.0,451295.0,419375.0
11,Basic EPS,0,0,5.05,5.36,4.99
12,Diluted EPS,0,0,4.97,5.25,4.88
13,Basic Average Shares,0,0,85840.0,84259.0,83973.0
14,Diluted Average Shares,0,0,87288.0,85925.0,85913.0
15,Total Operating Income as Reported,513271.0,513271.0,496356.0,515040.0,476574.0
16,Total Expenses,1393444.0,1393444.0,1184941.0,1000852.0,817062.0
17,Net Income from Continuing & Discontinued Operation,454627.0,454627.0,433887.0,451295.0,419375.0
18,Normalized Income,443210.0,443210.0,430854.0,453176.0,420110.0
19,Interest Income,2078.0,2078.0,5073.0,12796.0,11419.0
20,Interest Expense,12405.0,12405.0,10988.0,3461.0,0
21,Net Interest Income,10327.0,10327.0,5915.0,9335.0,11419.0
22,EBIT,527759.0,527759.0,504913.0,526044.0,476574.0
23,EBITDA,634626.0,0,0,0,0
24,Reconciled Cost of Revenue,166330.0,166330.0,135617.0,102467.0,110425.0
25,Reconciled Depreciation,106867.0,106867.0,106246.0,78975.0,59255.0
26,Net Income from Continuing Operation Net Minority Interest,454627.0,454627.0,433887.0,451295.0,419375.0
27,Total Unusual Items Excluding Goodwill,12945.0,12945.0,3454.0,2177.0,854.0
28,Total Unusual Items,12945.0,12945.0,3454.0,2177.0,854.0
29,Normalized EBITDA,621681.0,621681.0,607705.0,607196.0,536683.0
30,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
31,Tax Effect of Unusual Items,1528.0,1528.0,421.388,296.072,118.706
