,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,138639000.0,138639000.0,121867000.0,104213000.0,92105000.0
1,Total Expenses,130714000.0,130714000.0,115629000.0,98228000.0,87037000.0
2,Pretax Income,7925000.0,7925000.0,6238000.0,5985000.0,5068000.0
3,Tax Provision,1830000.0,1830000.0,1666000.0,1178000.0,1318000.0
4,Net Income Common Stockholders,6104000.0,6104000.0,4572000.0,4807000.0,3750000.0
5,Diluted NI Available to Com Stockholders,6104000.0,6104000.0,4572000.0,4807000.0,3750000.0
6,Basic EPS,0,0,18.63,19.01,14.57
7,Diluted EPS,0,0,17.98,18.47,14.19
8,Basic Average Shares,0,0,245401.0,252922.0,257396.0
9,Diluted Average Shares,0,0,254300.0,260300.0,264200.0
10,Net Income from Continuing & Discontinued Operation,6104000.0,6104000.0,4572000.0,4807000.0,3750000.0
11,Normalized Income,6120149.0,6120149.0,4598388.0,4808606.0,3758140.0
12,EBIT,8723000.0,8723000.0,7022000.0,6731000.0,5821000.0
13,Reconciled Depreciation,1302000.0,1302000.0,1154000.0,1133000.0,1132000.0
14,Net Income from Continuing Operation Net Minority Interest,6104000.0,6104000.0,4572000.0,4807000.0,3750000.0
15,Total Unusual Items Excluding Goodwill,21000.0,21000.0,36000.0,2000.0,11000.0
16,Total Unusual Items,21000.0,21000.0,36000.0,2000.0,11000.0
17,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
18,Tax Effect of Unusual Items,4851.0,4851.0,9612.0,394.0,2860.0
19,Interest Expense,798000.0,798000.0,784000.0,746000.0,753000.0
