,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,3538900.0,3538900.0,2895300.0,2992700.0,3187900.0
1,Cost of Revenue,2228000.0,2228000.0,1787100.0,1812000.0,1882400.0
2,Gross Profit,1310900.0,1310900.0,1108200.0,1180700.0,1305500.0
3,Operating Expense,701400.0,701400.0,660300.0,715600.0,753800.0
4,Operating Income,609500.0,609500.0,447900.0,465100.0,551700.0
5,Net Non Operating Interest Income Expense,4300.0,4300.0,7300.0,11000.0,8400.0
6,Other Income Expense,20400.0,20400.0,3300.0,18000.0,14500.0
7,Pretax Income,625600.0,625600.0,443900.0,472100.0,557800.0
8,Tax Provision,138500.0,138500.0,99000.0,102100.0,113600.0
9,Net Income Common Stockholders,487100.0,487100.0,344900.0,370000.0,444200.0
10,Diluted NI Available to Com Stockholders,487100.0,487100.0,344900.0,370000.0,444200.0
11,Basic EPS,0,0,2.13,2.28,2.64
12,Diluted EPS,0,0,2.12,2.22,2.58
13,Basic Average Shares,0,0,161770.0,162371.0,168159.0
14,Diluted Average Shares,0,0,162604.0,166711.0,172194.0
15,Total Expenses,2929400.0,2929400.0,2447400.0,2527600.0,2636200.0
16,Net Income from Continuing & Discontinued Operation,487100.0,487100.0,344900.0,370000.0,444200.0
17,Normalized Income,487100.0,487100.0,350883.0,370000.0,449533.0
18,Interest Expense,4300.0,4300.0,7300.0,11000.0,8400.0
19,Net Interest Income,4300.0,4300.0,7300.0,11000.0,8400.0
20,EBIT,629900.0,629900.0,451200.0,483100.0,566200.0
21,EBITDA,707800.0,0,0,0,0
22,Reconciled Cost of Revenue,2228000.0,2228000.0,1787100.0,1812000.0,1882400.0
23,Reconciled Depreciation,77900.0,77900.0,80000.0,78300.0,71900.0
24,Net Income from Continuing Operation Net Minority Interest,487100.0,487100.0,344900.0,370000.0,444200.0
25,Total Unusual Items Excluding Goodwill,0.0,0.0,7700.0,0.0,6700.0
26,Total Unusual Items,0.0,0.0,7700.0,0.0,6700.0
27,Normalized EBITDA,707800.0,707800.0,538900.0,561400.0,644800.0
28,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
29,Tax Effect of Unusual Items,0.0,0.0,1717.0,0.0,1367.0
