,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,8803000.0,8803000.0,8086000.0,6489000.0,7500000.0
1,Cost of Revenue,2317000.0,2317000.0,2260000.0,2094000.0,2517000.0
2,Gross Profit,6486000.0,6486000.0,5826000.0,4395000.0,4983000.0
3,Operating Expense,3150000.0,3150000.0,2998000.0,2656000.0,2995000.0
4,Operating Income,3336000.0,3336000.0,2828000.0,1739000.0,1988000.0
5,Net Non Operating Interest Income Expense,95000.0,95000.0,78000.0,11000.0,71000.0
6,Other Income Expense,77000.0,77000.0,134000.0,95000.0,40000.0
7,Pretax Income,3164000.0,3164000.0,2616000.0,1633000.0,1877000.0
8,Tax Provision,465000.0,465000.0,419000.0,130000.0,64000.0
9,Net Income Common Stockholders,2699000.0,2699000.0,2197000.0,1503000.0,1813000.0
10,Diluted NI Available to Com Stockholders,2699000.0,2699000.0,2197000.0,1503000.0,1813000.0
11,Basic EPS,0,3.47,2.85,1.96,2.38
12,Diluted EPS,0,3.44,2.82,1.95,2.35
13,Basic Average Shares,0,777000.0,771000.0,767000.0,762000.0
14,Diluted Average Shares,0,784000.0,778000.0,771000.0,771000.0
15,Total Operating Income as Reported,3259000.0,3259000.0,2734000.0,1607000.0,1988000.0
16,Total Expenses,5467000.0,5467000.0,5258000.0,4750000.0,5512000.0
17,Net Income from Continuing & Discontinued Operation,2699000.0,2699000.0,2197000.0,1503000.0,1813000.0
18,Normalized Income,2764684.0,2764684.0,2299480.0,1589480.0,1851800.0
19,Interest Income,0,0,21000.0,79000.0,0
20,Interest Expense,0,0,99000.0,90000.0,0
21,Net Interest Income,95000.0,95000.0,78000.0,11000.0,71000.0
22,EBIT,3336000.0,3336000.0,2715000.0,1723000.0,1988000.0
23,EBITDA,3776000.0,0,0,0,0
24,Reconciled Cost of Revenue,2317000.0,2317000.0,2260000.0,2094000.0,2517000.0
25,Reconciled Depreciation,440000.0,440000.0,446000.0,553000.0,998000.0
26,Net Income from Continuing Operation Net Minority Interest,2699000.0,2699000.0,2197000.0,1503000.0,1813000.0
27,Total Unusual Items Excluding Goodwill,77000.0,77000.0,122000.0,94000.0,40000.0
28,Total Unusual Items,77000.0,77000.0,122000.0,94000.0,40000.0
29,Normalized EBITDA,3853000.0,3853000.0,3283000.0,2370000.0,3026000.0
30,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
31,Tax Effect of Unusual Items,11316.0,11316.0,19520.0,7520.0,1200.0
