,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,3930000.0,3930000.0,3777000.0,3610000.0,3440000.0
1,Cost of Revenue,1777000.0,1777000.0,1622000.0,1544000.0,1479000.0
2,Gross Profit,2153000.0,2153000.0,2155000.0,2066000.0,1961000.0
3,Operating Expense,957000.0,957000.0,907000.0,862000.0,822000.0
4,Operating Income,1196000.0,1196000.0,1248000.0,1204000.0,1139000.0
5,Net Non Operating Interest Income Expense,399000.0,399000.0,395000.0,382000.0,350000.0
6,Other Income Expense,843000.0,843000.0,71000.0,11000.0,2000.0
7,Pretax Income,1640000.0,1640000.0,924000.0,833000.0,787000.0
8,Tax Provision,377000.0,377000.0,215000.0,212000.0,222000.0
9,Net Income Common Stockholders,1263000.0,1263000.0,709000.0,621000.0,567000.0
10,Diluted NI Available to Com Stockholders,1263000.0,1263000.0,709000.0,621000.0,567000.0
11,Basic EPS,0,6.96,3.91,3.44,3.16
12,Diluted EPS,0,6.95,3.91,3.43,3.15
13,Basic Average Shares,0,182000.0,181000.0,181000.0,180000.0
14,Diluted Average Shares,0,182000.0,182000.0,181000.0,180000.0
15,Total Operating Income as Reported,1196000.0,1196000.0,1248000.0,1170000.0,1102000.0
16,Total Expenses,2734000.0,2734000.0,2529000.0,2406000.0,2301000.0
17,Interest Income,4000.0,4000.0,0,0,0
18,Interest Expense,403000.0,403000.0,0,0,0
19,Net Interest Income,399000.0,399000.0,395000.0,382000.0,350000.0
20,Net Income from Continuing & Discontinued Operation,1263000.0,1263000.0,709000.0,621000.0,567000.0
21,Normalized Income,687810.0,687810.0,709000.0,649348.0,596438.0
22,EBIT,2043000.0,2043000.0,1248000.0,1204000.0,1139000.0
23,EBITDA,2679000.0,0,0,0,0
24,Reconciled Cost of Revenue,1777000.0,1777000.0,1622000.0,1544000.0,1479000.0
25,Reconciled Depreciation,636000.0,636000.0,604000.0,582000.0,545000.0
26,Net Income from Continuing Operation Net Minority Interest,1263000.0,1263000.0,709000.0,621000.0,567000.0
27,Total Unusual Items Excluding Goodwill,747000.0,747000.0,0.0,38000.0,41000.0
28,Total Unusual Items,747000.0,747000.0,0.0,38000.0,41000.0
29,Normalized EBITDA,1932000.0,1932000.0,1852000.0,1824000.0,1725000.0
30,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
31,Tax Effect of Unusual Items,171810.0,171810.0,0.0,9652.0,11562.0
