,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,10958000.0,10958000.0,6796000.0,15066000.0,14527000.0
1,Operating Expense,8449000.0,8449000.0,6216000.0,9721000.0,9186000.0
2,Operating Income,2509000.0,2509000.0,580000.0,5345000.0,5341000.0
3,Net Non Operating Interest Income Expense,318000.0,318000.0,302000.0,114000.0,82000.0
4,Other Income Expense,726000.0,726000.0,289000.0,727000.0,424000.0
5,Pretax Income,1465000.0,1465000.0,567000.0,5958000.0,4835000.0
6,Tax Provision,300000.0,300000.0,508000.0,1093000.0,837000.0
7,Net Income Common Stockholders,1165000.0,1165000.0,59000.0,4865000.0,3998000.0
8,Diluted NI Available to Com Stockholders,1165000.0,1165000.0,59000.0,4865000.0,3998000.0
9,Basic EPS,0,0,1.45,112.93,84.26
10,Diluted EPS,0,0,1.44,111.82,83.26
11,Basic Average Shares,0,0,40974.0,43082.0,47446.0
12,Diluted Average Shares,0,0,41160.0,43509.0,48017.0
13,Total Operating Income as Reported,2496000.0,2496000.0,631000.0,5345000.0,5341000.0
14,Total Expenses,8449000.0,8449000.0,6216000.0,9721000.0,9186000.0
15,Net Income from Continuing & Discontinued Operation,1165000.0,1165000.0,59000.0,4865000.0,3998000.0
16,Normalized Income,1731835.0,1731835.0,154890.0,4271041.0,4348648.0
17,Interest Income,16000.0,16000.0,54000.0,152000.0,187000.0
18,Interest Expense,334000.0,334000.0,356000.0,266000.0,269000.0
19,Net Interest Income,318000.0,318000.0,302000.0,114000.0,82000.0
20,EBIT,1799000.0,1799000.0,923000.0,6224000.0,5104000.0
21,EBITDA,2398000.0,0,0,0,0
22,Reconciled Depreciation,599000.0,599000.0,642000.0,641000.0,426000.0
23,Net Income from Continuing Operation Net Minority Interest,1165000.0,1165000.0,59000.0,4865000.0,3998000.0
24,Total Unusual Items Excluding Goodwill,713000.0,713000.0,293000.0,727000.0,424000.0
25,Total Unusual Items,713000.0,713000.0,293000.0,727000.0,424000.0
26,Normalized EBITDA,3111000.0,3111000.0,1272000.0,6138000.0,5954000.0
27,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
28,Tax Effect of Unusual Items,146165.0,146165.0,79110.0,133041.0,73352.0
