,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,20613000.0,20613000.0,17456000.0,18608000.0,18914000.0
1,Cost of Revenue,14633000.0,14633000.0,12347000.0,13189000.0,13345000.0
2,Gross Profit,5980000.0,5980000.0,5109000.0,5419000.0,5569000.0
3,Operating Expense,3623000.0,3623000.0,3239000.0,3162000.0,3089000.0
4,Operating Income,2357000.0,2357000.0,1870000.0,2257000.0,2480000.0
5,Net Non Operating Interest Income Expense,306000.0,306000.0,288000.0,27000.0,37000.0
6,Other Income Expense,349000.0,349000.0,1273000.0,388000.0,1325000.0
7,Pretax Income,2400000.0,2400000.0,2855000.0,2672000.0,3842000.0
8,Tax Provision,699000.0,699000.0,849000.0,517000.0,1073000.0
9,Net Income Common Stockholders,1664000.0,1664000.0,1982000.0,1776000.0,2734000.0
10,Diluted NI Available to Com Stockholders,1664000.0,1664000.0,1982000.0,1776000.0,2734000.0
11,Basic EPS,0,1.92,2.29,2.05,3.16
12,Diluted EPS,0,1.87,2.25,2.03,3.13
13,Basic Average Shares,0,867700.0,866500.0,866200.0,866200.0
14,Diluted Average Shares,0,890300.0,880200.0,872800.0,872800.0
15,Total Operating Income as Reported,2645000.0,2645000.0,3083000.0,2491000.0,3637000.0
16,Total Expenses,18256000.0,18256000.0,15586000.0,16351000.0,16434000.0
17,Net Income from Continuing & Discontinued Operation,1664000.0,1664000.0,1982000.0,2116000.0,2734000.0
18,Normalized Income,1665418.0,1665418.0,1243147.0,2203048.0,2157921.0
19,Interest Income,13000.0,13000.0,10000.0,102000.0,121000.0
20,Interest Expense,319000.0,319000.0,298000.0,75000.0,84000.0
21,Net Interest Income,306000.0,306000.0,288000.0,27000.0,37000.0
22,EBIT,2719000.0,2719000.0,3153000.0,2747000.0,3926000.0
23,EBITDA,3057000.0,0,0,0,0
24,Reconciled Cost of Revenue,14633000.0,14633000.0,12347000.0,13189000.0,13345000.0
25,Reconciled Depreciation,338000.0,338000.0,336000.0,335000.0,357000.0
26,Net Income from Continuing Operation Net Minority Interest,1664000.0,1664000.0,1982000.0,2116000.0,2734000.0
27,Total Unusual Items Excluding Goodwill,2000.0,2000.0,1051000.0,108000.0,799000.0
28,Total Unusual Items,2000.0,2000.0,1051000.0,108000.0,799000.0
29,Normalized EBITDA,3059000.0,3059000.0,2438000.0,3190000.0,3484000.0
30,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
31,Tax Effect of Unusual Items,582.0,582.0,312147.0,20952.0,222921.0
