,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,50971000.0,50971000.0,41748000.0,53800000.0,54722000.0
1,Cost of Revenue,35968000.0,35968000.0,29671000.0,37384000.0,37719000.0
2,Gross Profit,15003000.0,15003000.0,12077000.0,16416000.0,17003000.0
3,Operating Expense,8125000.0,8125000.0,7524000.0,8126000.0,8710000.0
4,Operating Income,6878000.0,6878000.0,4553000.0,8290000.0,8293000.0
5,Net Non Operating Interest Income Expense,488000.0,488000.0,514000.0,421000.0,404000.0
6,Other Income Expense,1814000.0,1814000.0,44000.0,57000.0,67000.0
7,Pretax Income,8204000.0,8204000.0,3995000.0,7812000.0,7822000.0
8,Tax Provision,1742000.0,1742000.0,1006000.0,1746000.0,1698000.0
9,Earnings from Equity Interest Net of Tax,31000.0,31000.0,14000.0,28000.0,24000.0
10,Net Income Common Stockholders,6489000.0,6489000.0,2998000.0,6093000.0,6147000.0
11,Diluted NI Available to Com Stockholders,6489000.0,6489000.0,2998000.0,6093000.0,6147000.0
12,Basic EPS,0,0,5.51,10.85,10.39
13,Diluted EPS,0,0,5.46,10.74,10.26
14,Basic Average Shares,0,0,544100.0,561600.0,591400.0
15,Diluted Average Shares,0,0,548600.0,567500.0,599400.0
16,Total Operating Income as Reported,6878000.0,6878000.0,4553000.0,8290000.0,8293000.0
17,Total Expenses,44093000.0,44093000.0,37195000.0,45510000.0,46429000.0
18,Net Income from Continuing & Discontinued Operation,6489000.0,6489000.0,2998000.0,6093000.0,6147000.0
19,Normalized Income,6233688.0,6233688.0,3030912.0,5937800.0,6173565.0
20,Interest Expense,488000.0,488000.0,514000.0,421000.0,404000.0
21,Net Interest Income,488000.0,488000.0,514000.0,421000.0,404000.0
22,EBIT,8692000.0,8692000.0,4509000.0,8233000.0,8226000.0
23,EBITDA,11044000.0,0,0,0,0
24,Reconciled Cost of Revenue,35968000.0,35968000.0,29671000.0,37384000.0,37719000.0
25,Reconciled Depreciation,2352000.0,2352000.0,2432000.0,2577000.0,2766000.0
26,Net Income from Continuing Operation Net Minority Interest,6489000.0,6489000.0,2998000.0,6093000.0,6147000.0
27,Total Unusual Items Excluding Goodwill,324000.0,324000.0,44000.0,200000.0,35000.0
28,Total Unusual Items,324000.0,324000.0,44000.0,200000.0,35000.0
29,Normalized EBITDA,10720000.0,10720000.0,6985000.0,10610000.0,11027000.0
30,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
31,Tax Effect of Unusual Items,68688.0,68688.0,11088.0,44800.0,8435.0
