,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,19649000.0,19649000.0,17603000.0,18924000.0,20437000.0
1,Cost of Revenue,12163000.0,12163000.0,9585000.0,10856000.0,11693000.0
2,Gross Profit,7486000.0,7486000.0,8018000.0,8068000.0,8744000.0
3,Operating Expense,8033000.0,8033000.0,7773000.0,6772000.0,7817000.0
4,Operating Income,547000.0,547000.0,245000.0,1296000.0,927000.0
5,Net Non Operating Interest Income Expense,199000.0,199000.0,357000.0,429000.0,432000.0
6,Other Income Expense,898000.0,898000.0,948000.0,1050000.0,130000.0
7,Pretax Income,152000.0,152000.0,836000.0,1917000.0,365000.0
8,Tax Provision,225000.0,225000.0,249000.0,516000.0,108000.0
9,Earnings from Equity Interest Net of Tax,10000.0,10000.0,8000.0,184000.0,30000.0
10,Net Income Common Stockholders,205000.0,205000.0,589000.0,1125000.0,370000.0
11,Diluted NI Available to Com Stockholders,205000.0,205000.0,589000.0,1125000.0,370000.0
12,Basic EPS,0,0,1.8,3.45,1.13
13,Diluted EPS,0,0,1.8,3.45,1.13
14,Basic Average Shares,0,0,326300.0,326300.0,326300.0
15,Diluted Average Shares,0,0,326300.0,326300.0,326300.0
16,Total Operating Income as Reported,346000.0,346000.0,256000.0,1323000.0,975000.0
17,Total Expenses,20196000.0,20196000.0,17358000.0,17628000.0,19510000.0
18,Net Income from Continuing & Discontinued Operation,205000.0,205000.0,589000.0,1125000.0,370000.0
19,Normalized Income,661980.0,661980.0,581278.0,1105263.0,334960.0
20,Interest Income,98000.0,98000.0,0,0,0
21,Interest Expense,297000.0,297000.0,357000.0,429000.0,432000.0
22,Net Interest Income,199000.0,199000.0,357000.0,429000.0,432000.0
23,EBIT,449000.0,449000.0,1193000.0,2346000.0,797000.0
24,EBITDA,4989000.0,0,0,0,0
25,Reconciled Cost of Revenue,10626000.0,10626000.0,8072000.0,9328000.0,10075000.0
26,Reconciled Depreciation,4540000.0,4540000.0,3636000.0,3063000.0,3415000.0
27,Net Income from Continuing Operation Net Minority Interest,205000.0,205000.0,589000.0,1125000.0,370000.0
28,Total Unusual Items Excluding Goodwill,626000.0,626000.0,11000.0,27000.0,48000.0
29,Total Unusual Items,626000.0,626000.0,11000.0,27000.0,48000.0
30,Normalized EBITDA,4363000.0,4363000.0,4818000.0,5382000.0,4164000.0
31,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
32,Tax Effect of Unusual Items,169020.0,169020.0,3278.0,7263.0,12960.0
