,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,116385000.0,116385000.0,103564000.0,108942000.0,94507000.0
1,Cost of Revenue,38450000.0,38450000.0,33121000.0,34440000.0,29692000.0
2,Gross Profit,77935000.0,77935000.0,70443000.0,74502000.0,64815000.0
3,Operating Expense,57118000.0,57118000.0,52950000.0,53377000.0,45806000.0
4,Operating Income,20817000.0,20817000.0,17493000.0,21125000.0,19009000.0
5,Net Non Operating Interest Income Expense,4281000.0,4281000.0,4588000.0,4567000.0,3542000.0
6,Other Income Expense,2556000.0,2556000.0,1160000.0,438000.0,225000.0
7,Pretax Income,19093000.0,19093000.0,14065000.0,16996000.0,15242000.0
8,Tax Provision,5259000.0,5259000.0,3364000.0,3673000.0,3380000.0
9,Net Income Common Stockholders,14159000.0,14159000.0,10534000.0,13057000.0,11731000.0
10,Diluted NI Available to Com Stockholders,14159000.0,14159000.0,10534000.0,13057000.0,11731000.0
11,Basic EPS,0,0,2.3,2.87,2.56
12,Diluted EPS,0,0,2.28,2.83,2.53
13,Basic Average Shares,0,0,4574000.0,4548000.0,4584000.0
14,Diluted Average Shares,0,0,4624000.0,4610000.0,4640000.0
15,Total Operating Income as Reported,20817000.0,20817000.0,17493000.0,21125000.0,19009000.0
16,Total Expenses,95568000.0,95568000.0,86071000.0,87817000.0,75498000.0
17,Net Income from Continuing & Discontinued Operation,14159000.0,14159000.0,10534000.0,13057000.0,11731000.0
18,Normalized Income,13913225.0,13913225.0,9762346.0,12542696.0,11876486.0
19,Interest Expense,4281000.0,4281000.0,4588000.0,4567000.0,3542000.0
20,Net Interest Income,4281000.0,4281000.0,4588000.0,4567000.0,3542000.0
21,EBIT,23374000.0,23374000.0,18653000.0,21563000.0,18784000.0
22,EBITDA,37178000.0,0,0,0,0
23,Reconciled Cost of Revenue,38450000.0,38450000.0,33121000.0,34440000.0,30033000.0
24,Reconciled Depreciation,13804000.0,13804000.0,13100000.0,12953000.0,10676000.0
25,Net Income from Continuing Operation Net Minority Interest,14159000.0,14159000.0,10534000.0,13057000.0,11731000.0
26,Total Unusual Items Excluding Goodwill,339000.0,339000.0,1014000.0,656000.0,187000.0
27,Total Unusual Items,339000.0,339000.0,1014000.0,656000.0,187000.0
28,Normalized EBITDA,36839000.0,36839000.0,30739000.0,33860000.0,29988000.0
29,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
30,Tax Effect of Unusual Items,93225.0,93225.0,242346.0,141696.0,41514.0
