,Breakdown,ttm,7/31/2021,7/31/2020,7/31/2019,7/31/2018
0,Total Revenue,3160132.0,2692511.0,2205583.0,2041957.0,1805695.0
1,Cost of Revenue,1632936.0,1349420.0,1197781.0,1143615.0,1043329.0
2,Gross Profit,1527196.0,1343091.0,1007802.0,898342.0,762366.0
3,Operating Expense,220136.0,206665.0,191703.0,181867.0,176890.0
4,Operating Income,1307060.0,1136426.0,816099.0,716475.0,585476.0
5,Net Non Operating Interest Income Expense,19906.0,20247.0,18871.0,17585.0,19075.0
6,Other Income Expense,3306.0,5667.0,3611.0,6061.0,3890.0
7,Pretax Income,1290460.0,1121846.0,800839.0,704951.0,562511.0
8,Tax Provision,199915.0,185351.0,100932.0,113258.0,144504.0
9,Net Income Common Stockholders,1090545.0,936495.0,699907.0,591693.0,417867.0
10,Diluted NI Available to Com Stockholders,1090545.0,936495.0,699907.0,591693.0,417867.0
11,Basic EPS,0,3.96,3.0,2.57,1.8
12,Diluted EPS,0,3.9,2.93,2.46,1.73
13,Basic Average Shares,0,236252.0,233202.0,230489.0,231793.0
14,Diluted Average Shares,0,240290.0,238656.0,240453.0,241877.0
15,Total Operating Income as Reported,1307060.0,1136426.0,816099.0,716475.0,584345.0
16,Total Expenses,1853072.0,1556085.0,1389484.0,1325482.0,1220219.0
17,Net Income from Continuing & Discontinued Operation,1090545.0,936495.0,699907.0,591693.0,417867.0
18,Normalized Income,1090545.0,936495.0,699907.0,591693.0,418707.0
19,Interest Income,1607.0,0,1359.0,2225.0,1293.0
20,Interest Expense,19906.0,20247.0,20230.0,19810.0,20368.0
21,Net Interest Income,19906.0,20247.0,18871.0,17585.0,19075.0
22,EBIT,1310366.0,1142093.0,821069.0,724761.0,582879.0
23,EBITDA,1438179.0,0,0,0,0
24,Reconciled Cost of Revenue,1632936.0,1349420.0,1197781.0,1143615.0,1043329.0
25,Reconciled Depreciation,127813.0,123084.0,104257.0,85334.0,79040.0
26,Net Income from Continuing Operation Net Minority Interest,1090545.0,936495.0,699907.0,591693.0,417867.0
27,Total Unusual Items Excluding Goodwill,0,0,0.0,0.0,1131.0
28,Total Unusual Items,0,0,0.0,0.0,1131.0
29,Normalized EBITDA,1438179.0,1265177.0,925326.0,810095.0,663050.0
30,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
31,Tax Effect of Unusual Items,0.0,0.0,0.0,0.0,290.667
