,Breakdown,ttm,6/30/2021,6/30/2020,6/30/2019,6/30/2018
0,Total Revenue,4483000.0,3998000.0,3094300.0,2518000.0,2463400.0
1,Cost of Revenue,2949000.0,2646000.0,2111000.0,1712900.0,1710800.0
2,Gross Profit,1534000.0,1352000.0,983300.0,805100.0,752600.0
3,Operating Expense,798000.0,706000.0,577900.0,512000.0,462600.0
4,Operating Income,736000.0,646000.0,405400.0,293100.0,290000.0
5,Net Non Operating Interest Income Expense,121000.0,110000.0,126100.0,126700.0,123200.0
6,Other Income Expense,142000.0,179000.0,18900.0,6100.0,14800.0
7,Pretax Income,757000.0,715000.0,260400.0,160300.0,152000.0
8,Tax Provision,153000.0,130000.0,39700.0,22900.0,68400.0
9,Net Income Common Stockholders,561000.0,529000.0,173000.0,132000.0,83600.0
10,Diluted NI Available to Com Stockholders,561000.0,529000.0,173000.0,132000.0,83600.0
11,Basic EPS,0,3.15,1.16,0.92,0.64
12,Diluted EPS,0,3.11,1.14,0.9,0.63
13,Basic Average Shares,0,168000.0,149800.0,144200.0,131200.0
14,Diluted Average Shares,0,170000.0,152300.0,146000.0,133200.0
15,Total Operating Income as Reported,919000.0,828000.0,394400.0,273900.0,271100.0
16,Total Expenses,3747000.0,3352000.0,2688900.0,2224900.0,2173400.0
17,Net Income from Continuing & Discontinued Operation,604000.0,585000.0,220700.0,132000.0,83600.0
18,Normalized Income,477934.0,436091.0,230023.0,148029.0,94039.0
19,Interest Expense,117000.0,110000.0,126100.0,110900.0,111400.0
20,Net Interest Income,121000.0,110000.0,126100.0,126700.0,123200.0
21,EBIT,874000.0,825000.0,386500.0,271200.0,263400.0
22,EBITDA,1202000.0,0,0,0,0
23,Reconciled Cost of Revenue,2949000.0,2646000.0,2111000.0,1712900.0,1710800.0
24,Reconciled Depreciation,328000.0,289000.0,253700.0,228600.0,190100.0
25,Net Income from Continuing Operation Net Minority Interest,604000.0,585000.0,220700.0,132000.0,83600.0
26,Total Unusual Items Excluding Goodwill,158000.0,182000.0,11000.0,18700.0,14300.0
27,Total Unusual Items,158000.0,182000.0,11000.0,18700.0,14300.0
28,Normalized EBITDA,1044000.0,932000.0,651200.0,518500.0,467800.0
29,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
30,Tax Effect of Unusual Items,31934.0,33091.0,1677.0,2671.0,3861.0
