,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,29453000.0,29453000.0,22284000.0,17911100.0,19893000.0
1,Cost of Revenue,11501000.0,11501000.0,9809000.0,7927400.0,8785900.0
2,Gross Profit,17952000.0,17952000.0,12475000.0,9983700.0,11107100.0
3,Operating Expense,10487000.0,10487000.0,8244000.0,6714300.0,7703300.0
4,Operating Income,7465000.0,7465000.0,4231000.0,3269400.0,3403800.0
5,Net Non Operating Interest Income Expense,227000.0,227000.0,204000.0,30400.0,148200.0
6,Other Income Expense,360000.0,360000.0,468000.0,5500.0,37200.0
7,Pretax Income,7598000.0,7598000.0,4495000.0,3305300.0,3292800.0
8,Tax Provision,1251000.0,1251000.0,849000.0,873000.0,641900.0
9,Net Income Common Stockholders,6269000.0,6269000.0,3510000.0,3008200.0,2650900.0
10,Average Dilution Earnings,0,0,1000.0,0,2200.0
11,Diluted NI Available to Com Stockholders,6269000.0,6269000.0,3511000.0,3008200.0,2653100.0
12,Basic EPS,0,8.77,4.97,4.11,3.78
13,Diluted EPS,0,8.61,4.89,4.05,3.74
14,Basic Average Shares,0,714600.0,706200.0,715000.0,700600.0
15,Diluted Average Shares,0,736800.0,718700.0,725500.0,710200.0
16,Total Operating Income as Reported,7465000.0,7465000.0,4231000.0,3269400.0,3403800.0
17,Total Expenses,21988000.0,21988000.0,18053000.0,14641700.0,16489200.0
18,Net Income from Continuing & Discontinued Operation,6433000.0,6433000.0,3646000.0,3008200.0,2650900.0
19,Normalized Income,6081358.0,6081358.0,3298081.0,2437084.0,2650900.0
20,Interest Income,11000.0,11000.0,71000.0,139000.0,9200.0
21,Interest Expense,238000.0,238000.0,275000.0,108600.0,157400.0
22,Net Interest Income,227000.0,227000.0,204000.0,30400.0,148200.0
23,EBIT,7836000.0,7836000.0,4770000.0,3413900.0,3450200.0
24,EBITDA,10004000.0,0,0,0,0
25,Reconciled Cost of Revenue,11501000.0,11501000.0,9809000.0,7927400.0,8785900.0
26,Reconciled Depreciation,2168000.0,2168000.0,1775000.0,1189500.0,1307700.0
27,Net Income from Continuing Operation Net Minority Interest,6347000.0,6347000.0,3646000.0,2432300.0,2650900.0
28,Total Unusual Items Excluding Goodwill,318000.0,318000.0,429000.0,6500.0,0.0
29,Total Unusual Items,318000.0,318000.0,429000.0,6500.0,0.0
30,Normalized EBITDA,9686000.0,9686000.0,6116000.0,4609900.0,4757900.0
31,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
32,Tax Effect of Unusual Items,52358.0,52358.0,81081.0,1716.0,0.0
