,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,12733100.0,12733100.0,11790200.0,14906300.0,14668200.0
1,Cost of Revenue,7615800.0,7615800.0,6905800.0,8723400.0,8625900.0
2,Gross Profit,5117300.0,5117300.0,4884400.0,6182900.0,6042300.0
3,Operating Expense,3416100.0,3416100.0,3309100.0,3957500.0,3968600.0
4,Operating Income,1701200.0,1701200.0,1575300.0,2225400.0,2073700.0
5,Net Non Operating Interest Income Expense,218300.0,218300.0,290200.0,191200.0,222300.0
6,Other Income Expense,68700.0,68700.0,123700.0,135300.0,46800.0
7,Pretax Income,1414200.0,1414200.0,1161400.0,1898900.0,1804600.0
8,Tax Provision,270200.0,270200.0,176600.0,322700.0,364300.0
9,Net Income Common Stockholders,1129900.0,1129900.0,1205100.0,1558900.0,1429100.0
10,Diluted NI Available to Com Stockholders,1129900.0,1129900.0,1205100.0,1558900.0,1429100.0
11,Basic EPS,0,3.95,4.2,5.41,4.95
12,Diluted EPS,0,3.91,4.24,5.33,4.88
13,Basic Average Shares,0,286300.0,287000.0,288100.0,288600.0
14,Diluted Average Shares,0,289100.0,290300.0,292500.0,292800.0
15,Total Operating Income as Reported,1598600.0,1598600.0,1395700.0,2013800.0,1947000.0
16,Total Expenses,11031900.0,11031900.0,10214900.0,12680900.0,12594500.0
17,Net Income from Continuing & Discontinued Operation,1129900.0,1129900.0,1205100.0,1558900.0,1429100.0
18,Normalized Income,1212903.0,1212903.0,1119701.0,1734528.0,1530207.0
19,Interest Income,12300.0,12300.0,14600.0,24100.0,14900.0
20,Interest Expense,230600.0,230600.0,304800.0,215300.0,237200.0
21,Net Interest Income,218300.0,218300.0,290200.0,191200.0,222300.0
22,EBIT,1644800.0,1644800.0,1466200.0,2114200.0,2041800.0
23,EBITDA,2487900.0,0,0,0,0
24,Reconciled Cost of Revenue,7615800.0,7615800.0,6905800.0,8723400.0,8625900.0
25,Reconciled Depreciation,843100.0,843100.0,812700.0,973300.0,938300.0
26,Net Income from Continuing Operation Net Minority Interest,1129900.0,1129900.0,967400.0,1558900.0,1429100.0
27,Total Unusual Items Excluding Goodwill,102600.0,102600.0,179600.0,211600.0,126700.0
28,Total Unusual Items,102600.0,102600.0,179600.0,211600.0,126700.0
29,Normalized EBITDA,2590500.0,2590500.0,2458500.0,3299100.0,3106800.0
30,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
31,Tax Effect of Unusual Items,19597.0,19597.0,27299.0,35972.0,25593.0
