,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,3758144.0,3758144.0,2659478.0,2293798.0,1842912.0
1,Cost of Revenue,2483697.0,2483697.0,1732522.0,1488198.0,1186921.0
2,Gross Profit,1274447.0,1274447.0,926956.0,805600.0,655991.0
3,Operating Expense,732131.0,732131.0,547632.0,502750.0,410227.0
4,Operating Income,542316.0,542316.0,379324.0,302850.0,245764.0
5,Net Non Operating Interest Income Expense,1727.0,1727.0,3822.0,8725.0,3522.0
6,Other Income Expense,7197.0,7197.0,4667.0,12049.0,487.0
7,Pretax Income,533392.0,533392.0,378479.0,299526.0,249773.0
8,Tax Provision,51740.0,51740.0,51319.0,38469.0,9517.0
9,Net Income Common Stockholders,481652.0,481652.0,327160.0,261057.0,240256.0
10,Diluted NI Available to Com Stockholders,481652.0,481652.0,327160.0,261057.0,240256.0
11,Basic EPS,0,0,5.87,4.77,4.48
12,Diluted EPS,0,0,5.6,4.53,4.24
13,Basic Average Shares,0,0,55727.0,54719.0,53623.0
14,Diluted Average Shares,0,0,58446.0,57668.0,56673.0
15,Total Operating Income as Reported,542316.0,542316.0,379324.0,302850.0,245764.0
16,Total Expenses,3215828.0,3215828.0,2280154.0,1990948.0,1597148.0
17,Net Income from Continuing & Discontinued Operation,481652.0,481652.0,327160.0,261057.0,240256.0
18,Normalized Income,488151.0,488151.0,331192.0,271564.0,239788.0
19,Interest Income,0,0,3822.0,0,0
20,Interest Expense,1727.0,1727.0,0,0,0
21,Net Interest Income,1727.0,1727.0,3822.0,8725.0,3522.0
22,EBIT,542316.0,542316.0,379324.0,302850.0,245764.0
23,EBITDA,625711.0,0,0,0,0
24,Reconciled Cost of Revenue,2483697.0,2483697.0,1666153.0,1432339.0,1186921.0
25,Reconciled Depreciation,83395.0,83395.0,129243.0,101176.0,36640.0
26,Net Income from Continuing Operation Net Minority Interest,481652.0,481652.0,327160.0,261057.0,240256.0
27,Total Unusual Items Excluding Goodwill,7197.0,7197.0,4667.0,12049.0,487.0
28,Total Unusual Items,7197.0,7197.0,4667.0,12049.0,487.0
29,Normalized EBITDA,632908.0,632908.0,513234.0,416075.0,281917.0
30,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
31,Tax Effect of Unusual Items,698.1222,698.1222,634.712,1542.0,18.506
