,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,2463997.0,2463997.0,2571705.0,2701075.0,2578434.0
1,Cost of Revenue,948792.0,948792.0,916385.0,908328.0,879634.0
2,Gross Profit,1515205.0,1515205.0,1655320.0,1792747.0,1698800.0
3,Operating Expense,894778.0,894778.0,869137.0,883840.0,839538.0
4,Operating Income,620427.0,620427.0,786183.0,908907.0,859262.0
5,Net Non Operating Interest Income Expense,255544.0,255544.0,368077.0,398929.0,409353.0
6,Other Income Expense,1036139.0,1036139.0,511013.0,429460.0,238841.0
7,Pretax Income,1401022.0,1401022.0,929119.0,939438.0,688750.0
8,Tax Provision,915.0,915.0,852.0,2281.0,878.0
9,Earnings from Equity Interest Net of Tax,3398.0,3398.0,3284.0,65945.0,3667.0
10,Net Income Common Stockholders,1329760.0,1329760.0,910546.0,967287.0,654445.0
11,Average Dilution Earnings,0,0,34010.0,36034.0,0
12,Diluted NI Available to Com Stockholders,1329760.0,1329760.0,944556.0,1003321.0,654445.0
13,Basic EPS,0,0,2.45,2.61,1.78
14,Diluted EPS,0,0,2.45,2.6,1.77
15,Basic Average Shares,0,0,371791.0,370461.0,368052.0
16,Diluted Average Shares,0,0,385874.0,386333.0,383695.0
17,Total Operating Income as Reported,1675841.0,1675841.0,1317990.0,1356544.0,858560.0
18,Total Expenses,1843570.0,1843570.0,1785522.0,1792168.0,1719172.0
19,Net Income from Continuing & Discontinued Operation,1332845.0,1332845.0,879402.0,968333.0,656548.0
20,Normalized Income,278120.0,278120.0,348083.0,641558.0,400766.0
21,Interest Income,25666.0,25666.0,5935.0,2817.0,15317.0
22,Interest Expense,272473.0,272473.0,365073.0,390076.0,413360.0
23,Net Interest Income,255544.0,255544.0,368077.0,398929.0,409353.0
24,EBIT,1673495.0,1673495.0,1294192.0,1329514.0,1102110.0
25,EBITDA,2524879.0,0,0,0,0
26,Reconciled Cost of Revenue,935680.0,935680.0,904774.0,896635.0,875242.0
27,Reconciled Depreciation,851384.0,851384.0,832443.0,842776.0,790117.0
28,Net Income from Continuing Operation Net Minority Interest,1332845.0,1332845.0,879402.0,968333.0,656548.0
29,Total Unusual Items Excluding Goodwill,1055414.0,1055414.0,531807.0,447637.0,256108.0
30,Total Unusual Items,1055414.0,1055414.0,531807.0,447637.0,256108.0
31,Normalized EBITDA,1469465.0,1469465.0,1594828.0,1724653.0,1636119.0
32,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
33,Tax Effect of Unusual Items,689.2853,689.2853,487.6658,120862.0,326.4796
