,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,11775983.0,11742896.0,10113636.0,10878673.0,11009452.0
1,Cost of Revenue,6897982.0,6871030.0,5655422.0,6699806.0,7839136.0
2,Gross Profit,4878001.0,4871866.0,4458214.0,4178867.0,3170316.0
3,Operating Expense,2713216.0,2762615.0,2662396.0,2498343.0,2700951.0
4,Operating Income,2164785.0,2109251.0,1795818.0,1680524.0,469365.0
5,Net Non Operating Interest Income Expense,591114.0,404228.0,392845.0,194513.0,643484.0
6,Other Income Expense,322575.0,394930.0,117826.0,397592.0,152.0
7,Pretax Income,1251096.0,1310093.0,1285147.0,1088419.0,174271.0
8,Tax Provision,191929.0,191374.0,121506.0,169825.0,1036826.0
9,Net Income Common Stockholders,1060327.0,1118492.0,1388334.0,1241226.0,848661.0
10,Diluted NI Available to Com Stockholders,1060327.0,1118492.0,1388334.0,1241226.0,848661.0
11,Basic EPS,0,5.57,6.94,6.36,4.68
12,Diluted EPS,0,5.54,6.9,6.3,4.63
13,Basic Average Shares,0,200942.0,200107.0,195196.0,181410.0
14,Diluted Average Shares,0,201873.0,201102.0,196999.0,183379.0
15,Total Operating Income as Reported,1903689.0,1845626.0,1769195.0,1390497.0,469365.0
16,Total Expenses,9611198.0,9633645.0,8317818.0,9198149.0,10540087.0
17,Interest Income,0,430466.0,392818.0,547912.0,63864.0
18,Interest Expense,878265.0,834694.0,785663.0,742425.0,707348.0
19,Net Interest Income,591114.0,404228.0,392845.0,194513.0,643484.0
20,Net Income from Continuing & Discontinued Operation,1059167.0,1118719.0,1406653.0,1258244.0,862555.0
21,Normalized Income,1219451.0,1283671.0,1338904.0,1364133.0,767946.0
22,EBIT,2129361.0,2144787.0,2070810.0,1830844.0,533077.0
23,EBITDA,4353465.0,0,0,0,0
24,Reconciled Cost of Revenue,6382617.0,6312372.0,5010758.0,5997509.0,7168023.0
25,Reconciled Depreciation,2224104.0,2242944.0,2257750.0,2182313.0,2040555.0
26,Net Income from Continuing Operation Net Minority Interest,1059167.0,1118719.0,1406653.0,1258244.0,862555.0
27,Total Unusual Items Excluding Goodwill,189329.0,193152.0,92807.0,145053.0,129602.0
28,Total Unusual Items,189329.0,193152.0,92807.0,145053.0,129602.0
29,Normalized EBITDA,4542794.0,4580883.0,4235753.0,4158210.0,2444030.0
30,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
31,Tax Effect of Unusual Items,29045.0,28200.0,25058.0,39164.0,34993.0
