,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,36347000.0,36347000.0,33039000.0,34438000.0,35985000.0
1,Cost of Revenue,26023000.0,26023000.0,23512000.0,24112000.0,26007000.0
2,Gross Profit,10324000.0,10324000.0,9527000.0,10326000.0,9978000.0
3,Operating Expense,7802000.0,7802000.0,6728000.0,5984000.0,6136000.0
4,Operating Income,2522000.0,2522000.0,2799000.0,4342000.0,3842000.0
5,Net Non Operating Interest Income Expense,1571000.0,1571000.0,1635000.0,1616000.0,1554000.0
6,Other Income Expense,1257000.0,1257000.0,1169000.0,1259000.0,56000.0
7,Pretax Income,2208000.0,2208000.0,2333000.0,3985000.0,2232000.0
8,Tax Provision,370000.0,370000.0,373000.0,774000.0,120000.0
9,Earnings from Equity Interest Net of Tax,9000.0,9000.0,6000.0,183000.0,28000.0
10,Net Income Common Stockholders,1706000.0,1706000.0,1963000.0,2936000.0,2010000.0
11,Diluted NI Available to Com Stockholders,1706000.0,1706000.0,1963000.0,2936000.0,2010000.0
12,Basic EPS,0,0,2.01,3.02,2.08
13,Diluted EPS,0,0,2.01,3.01,2.07
14,Basic Average Shares,0,0,976000.0,973000.0,967000.0
15,Diluted Average Shares,0,0,977000.0,974000.0,969000.0
16,Total Operating Income as Reported,2723000.0,2723000.0,2823000.0,4374000.0,3898000.0
17,Total Expenses,33825000.0,33825000.0,30240000.0,30096000.0,32143000.0
18,Interest Expense,1571000.0,1571000.0,1635000.0,1616000.0,1554000.0
19,Net Interest Income,1571000.0,1571000.0,1635000.0,1616000.0,1554000.0
20,Net Income from Continuing & Discontinued Operation,1706000.0,1706000.0,1963000.0,2936000.0,2010000.0
21,Normalized Income,1509623.0,1509623.0,1942837.0,2910215.0,1957011.0
22,EBIT,3779000.0,3779000.0,3968000.0,5601000.0,3786000.0
23,EBITDA,11352000.0,0,0,0,0
24,Reconciled Cost of Revenue,24486000.0,24486000.0,21999000.0,22584000.0,24389000.0
25,Reconciled Depreciation,7573000.0,7573000.0,6527000.0,5780000.0,5971000.0
26,Net Income from Continuing Operation Net Minority Interest,1706000.0,1706000.0,1963000.0,2936000.0,2010000.0
27,Total Unusual Items Excluding Goodwill,201000.0,201000.0,24000.0,32000.0,56000.0
28,Total Unusual Items,201000.0,201000.0,24000.0,32000.0,56000.0
29,Normalized EBITDA,11151000.0,11151000.0,10471000.0,11349000.0,9701000.0
30,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
31,Tax Effect of Unusual Items,4623.0,4623.0,3837.0,6215.0,3011.0
