,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,6797000.0,6797000.0,2813000.0,3964000.0,2176256.0
1,Cost of Revenue,2566000.0,2566000.0,2169000.0,2364000.0,1058666.0
2,Gross Profit,4231000.0,4231000.0,644000.0,1600000.0,1117590.0
3,Operating Expense,152000.0,152000.0,99000.0,115000.0,69971.0
4,Operating Income,4079000.0,4079000.0,545000.0,1485000.0,1047619.0
5,Net Non Operating Interest Income Expense,199000.0,199000.0,197000.0,172000.0,87276.0
6,Other Income Expense,973000.0,973000.0,6124000.0,951000.0,152914.0
7,Pretax Income,2907000.0,2907000.0,5776000.0,362000.0,1113257.0
8,Tax Provision,631000.0,631000.0,1104000.0,47000.0,168362.0
9,Net Income Common Stockholders,2182000.0,2182000.0,4517000.0,240000.0,845672.0
10,Diluted NI Available to Com Stockholders,2182000.0,2182000.0,4517000.0,240000.0,845672.0
11,Basic EPS,0,0,28.59,1.47,8.09
12,Diluted EPS,0,0,28.59,1.47,8.06
13,Basic Average Shares,0,0,157976.0,163493.0,104622.0
14,Diluted Average Shares,0,0,157976.0,163843.0,104929.0
15,Total Operating Income as Reported,4001000.0,4001000.0,5476000.0,695000.0,1010788.0
16,Rent Expense Supplemental,0,0,0,490000.0,204975.0
17,Total Expenses,2718000.0,2718000.0,2268000.0,2479000.0,1128637.0
18,Interest Income,1000.0,1000.0,4000.0,0,0
19,Interest Expense,189000.0,189000.0,195000.0,172000.0,87276.0
20,Net Interest Income,199000.0,199000.0,197000.0,172000.0,87276.0
21,Net Income from Continuing & Discontinued Operation,2182000.0,2182000.0,4517000.0,240000.0,845672.0
22,Normalized Income,2965783.0,2965783.0,430844.0,1065630.0,791406.0
23,EBIT,3096000.0,3096000.0,5581000.0,1485000.0,1047619.0
24,EBITDA,4371000.0,0,0,0,0
25,Reconciled Cost of Revenue,2566000.0,2566000.0,2169000.0,2364000.0,1058666.0
26,Reconciled Depreciation,1275000.0,1275000.0,1304000.0,1447000.0,623039.0
27,Net Income from Continuing Operation Net Minority Interest,2182000.0,2182000.0,4517000.0,240000.0,845672.0
28,Total Unusual Items Excluding Goodwill,1001000.0,1001000.0,6116000.0,949000.0,63918.0
29,Total Unusual Items,1001000.0,1001000.0,6116000.0,949000.0,63918.0
30,Normalized EBITDA,5372000.0,5372000.0,1839000.0,3881000.0,1606740.0
31,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
32,Tax Effect of Unusual Items,217217.0,217217.0,1168156.0,123370.0,9652.0
