,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,7656100.0,7656100.0,6090300.0,5764600.0,5485100.0
1,Cost of Revenue,4909100.0,4909100.0,3925900.0,3712200.0,3525700.0
2,Gross Profit,2747000.0,2747000.0,2164400.0,2052400.0,1959400.0
3,Operating Expense,1643100.0,1643100.0,1323300.0,1329600.0,1271000.0
4,Operating Income,1103900.0,1103900.0,841100.0,722800.0,688400.0
5,Net Non Operating Interest Income Expense,84400.0,84400.0,83900.0,94200.0,74500.0
6,Other Income Expense,14400.0,14400.0,26400.0,53300.0,76900.0
7,Pretax Income,1005100.0,1005100.0,730800.0,575300.0,537000.0
8,Tax Provision,232700.0,232700.0,168800.0,144000.0,147000.0
9,Earnings from Equity Interest Net of Tax,0.0,0.0,7600.0,0,0
10,Net Income Common Stockholders,772400.0,772400.0,553100.0,431900.0,389600.0
11,Diluted NI Available to Com Stockholders,772400.0,772400.0,553100.0,431900.0,389600.0
12,Basic EPS,0,0,3.99,3.09,2.77
13,Diluted EPS,0,0,3.94,3.06,2.66
14,Basic Average Shares,0,0,138660.0,139555.0,140499.0
15,Diluted Average Shares,0,0,140200.0,141300.0,146400.0
16,Total Operating Income as Reported,1090400.0,1090400.0,801400.0,698500.0,595200.0
17,Total Expenses,6552200.0,6552200.0,5249200.0,5041800.0,4796700.0
18,Net Income from Continuing & Discontinued Operation,772400.0,772400.0,553100.0,431900.0,389600.0
19,Normalized Income,782774.0,782774.0,584783.0,473525.0,448533.0
20,Interest Expense,84400.0,84400.0,83900.0,94200.0,74500.0
21,Net Interest Income,84400.0,84400.0,83900.0,94200.0,74500.0
22,EBIT,1089500.0,1089500.0,814700.0,669500.0,611500.0
23,EBITDA,1278600.0,0,0,0,0
24,Reconciled Cost of Revenue,4784100.0,4784100.0,3804400.0,3600900.0,3412200.0
25,Reconciled Depreciation,189100.0,189100.0,163500.0,152700.0,149600.0
26,Net Income from Continuing Operation Net Minority Interest,772400.0,772400.0,553100.0,431900.0,389800.0
27,Total Unusual Items Excluding Goodwill,13500.0,13500.0,41200.0,55500.0,80900.0
28,Total Unusual Items,13500.0,13500.0,41200.0,55500.0,80900.0
29,Normalized EBITDA,1292100.0,1292100.0,1019400.0,877700.0,842000.0
30,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
31,Tax Effect of Unusual Items,3126.0,3126.0,9517.0,13875.0,22167.0
