,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,74164000.0,74196000.0,79619000.0,95215000.0,121616000.0
1,Cost of Revenue,53812000.0,53896000.0,60421000.0,70028000.0,92671000.0
2,Gross Profit,20352000.0,20300000.0,19198000.0,25187000.0,28945000.0
3,Operating Expense,17364000.0,16487000.0,17583000.0,17243000.0,16011000.0
4,Operating Income,2988000.0,3813000.0,1615000.0,7944000.0,12934000.0
5,Net Non Operating Interest Income Expense,90000.0,394000.0,4819000.0,3007000.0,4390000.0
6,Other Income Expense,7345000.0,7889000.0,8399000.0,3786000.0,28677000.0
7,Pretax Income,4446000.0,3683000.0,5197000.0,1149000.0,20134000.0
8,Tax Provision,224000.0,286000.0,474000.0,726000.0,583000.0
9,Net Income Common Stockholders,4977000.0,6757000.0,5230000.0,5439000.0,22802000.0
10,Average Dilution Earnings,0,0,0,0,7000.0
11,Diluted NI Available to Com Stockholders,4977000.0,6757000.0,5230000.0,5439000.0,22809000.0
12,Basic EPS,0,6.16,4.64,4.96,20.96
13,Diluted EPS,0,6.16,4.64,4.96,20.96
14,Basic Average Shares,0,1098000.0,1094125.0,1090500.0,1086375.0
15,Diluted Average Shares,0,1098000.0,1095125.0,1090500.0,1086375.0
16,Total Expenses,71176000.0,70383000.0,78004000.0,87271000.0,108682000.0
17,Net Income from Continuing & Discontinued Operation,4760000.0,6520000.0,5704000.0,4979000.0,22355000.0
18,Normalized Income,2048895.0,2727008.0,2019230.0,1438590.0,1844640.0
19,Interest Income,0,2270000.0,0,1220000.0,669000.0
20,Interest Expense,1914000.0,1876000.0,4819000.0,4227000.0,5059000.0
21,Net Interest Income,90000.0,394000.0,4819000.0,3007000.0,4390000.0
22,EBIT,2532000.0,1807000.0,10016000.0,5376000.0,15075000.0
23,EBITDA,1209000.0,0,0,0,0
24,Reconciled Cost of Revenue,53812000.0,53896000.0,60421000.0,70028000.0,92671000.0
25,Reconciled Depreciation,3741000.0,3009000.0,6018000.0,5595000.0,8224000.0
26,Net Income from Continuing Operation Net Minority Interest,4173000.0,3325000.0,5829000.0,356000.0,20629000.0
27,Total Unusual Items Excluding Goodwill,6552000.0,6564000.0,10751000.0,1483000.0,25732000.0
28,Total Unusual Items,6552000.0,6564000.0,10751000.0,1483000.0,25732000.0
29,Normalized EBITDA,7761000.0,7766000.0,5283000.0,12454000.0,18881000.0
30,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
31,Tax Effect of Unusual Items,330105.0,511992.0,2902770.0,400410.0,6947640.0
