,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,15295000.0,15295000.0,14445000.0,22408000.0,23995000.0
1,Cost of Revenue,13279000.0,13279000.0,12900000.0,20123000.0,21009000.0
2,Gross Profit,2016000.0,2016000.0,1545000.0,2285000.0,2986000.0
3,Operating Expense,240000.0,240000.0,182000.0,227000.0,254000.0
4,Operating Income,1776000.0,1776000.0,1363000.0,2058000.0,2732000.0
5,Net Non Operating Interest Income Expense,469000.0,469000.0,505000.0,569000.0,554000.0
6,Other Income Expense,55000.0,55000.0,4078000.0,2611000.0,364000.0
7,Pretax Income,1252000.0,1252000.0,3220000.0,1122000.0,1814000.0
8,Tax Provision,216000.0,216000.0,278000.0,7000.0,157000.0
9,Net Income Common Stockholders,1457000.0,1457000.0,2945000.0,1131000.0,1656000.0
10,Diluted NI Available to Com Stockholders,1457000.0,1457000.0,2945000.0,1131000.0,1656000.0
11,Basic EPS,0,0,3.34,1.29,1.89
12,Diluted EPS,0,0,3.34,1.29,1.89
13,Basic Average Shares,0,0,881000.0,875000.0,875000.0
14,Diluted Average Shares,0,0,881000.0,875000.0,877000.0
15,Total Operating Income as Reported,1800000.0,1800000.0,2436000.0,448000.0,2467000.0
16,Total Expenses,13519000.0,13519000.0,13082000.0,20350000.0,21263000.0
17,Net Income from Continuing & Discontinued Operation,1457000.0,1457000.0,2945000.0,1131000.0,1656000.0
18,Normalized Income,1413930.0,1413930.0,424004.0,499090.0,1897945.0
19,Interest Expense,469000.0,469000.0,505000.0,569000.0,554000.0
20,Net Interest Income,469000.0,469000.0,505000.0,569000.0,554000.0
21,EBIT,1721000.0,1721000.0,2715000.0,553000.0,2368000.0
22,EBITDA,2625000.0,0,0,0,0
23,Reconciled Cost of Revenue,12411000.0,12411000.0,12900000.0,20123000.0,21009000.0
24,Reconciled Depreciation,904000.0,904000.0,1058000.0,1625000.0,1606000.0
25,Net Income from Continuing Operation Net Minority Interest,1457000.0,1457000.0,2945000.0,1131000.0,1656000.0
26,Total Unusual Items Excluding Goodwill,59000.0,59000.0,3686000.0,2233000.0,265000.0
27,Total Unusual Items,59000.0,59000.0,3686000.0,2233000.0,265000.0
28,Normalized EBITDA,2566000.0,2566000.0,2029000.0,3305000.0,4239000.0
29,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
30,Tax Effect of Unusual Items,15930.0,15930.0,316996.0,602910.0,23055.0
