,Breakdown,ttm,10/31/2021,10/31/2020,10/31/2019,10/31/2018
0,Total Revenue,64869000.0,63487000.0,56639000.0,58756000.0,58472000.0
1,Cost of Revenue,51391000.0,50070000.0,46202000.0,47586000.0,47803000.0
2,Gross Profit,13478000.0,13417000.0,10437000.0,11170000.0,10669000.0
3,Operating Expense,7827000.0,7765000.0,6710000.0,8169000.0,7005000.0
4,Operating Income,5651000.0,5652000.0,3727000.0,3001000.0,3664000.0
5,Net Non Operating Interest Income Expense,223000.0,254000.0,239000.0,242000.0,312000.0
6,Other Income Expense,2114000.0,2113000.0,257000.0,236000.0,339000.0
7,Pretax Income,7542000.0,7511000.0,3231000.0,2523000.0,3013000.0
8,Tax Provision,1021000.0,1008000.0,387000.0,629000.0,2314000.0
9,Net Income Common Stockholders,6521000.0,6503000.0,2844000.0,3152000.0,5327000.0
10,Diluted NI Available to Com Stockholders,6521000.0,6503000.0,2844000.0,3152000.0,5327000.0
11,Basic EPS,0,0,2.01,2.08,3.3
12,Diluted EPS,0,0,2.0,2.07,3.26
13,Basic Average Shares,0,0,1413000.0,1515000.0,1615000.0
14,Diluted Average Shares,0,0,1420000.0,1524000.0,1634000.0
15,Total Operating Income as Reported,5340000.0,5302000.0,3462000.0,3877000.0,4064000.0
16,Total Expenses,59218000.0,57835000.0,52912000.0,55755000.0,54808000.0
17,Net Income from Continuing & Discontinued Operation,6521000.0,6503000.0,2844000.0,3152000.0,5327000.0
18,Normalized Income,4779646.0,4792650.0,3299840.0,3378300.0,5610240.0
19,Interest Expense,0,254000.0,239000.0,242000.0,312000.0
20,Net Interest Income,223000.0,254000.0,239000.0,242000.0,312000.0
21,EBIT,7853000.0,7765000.0,3470000.0,2765000.0,3325000.0
22,EBITDA,8632000.0,0,0,0,0
23,Reconciled Cost of Revenue,50789000.0,49439000.0,45526000.0,46958000.0,47355000.0
24,Reconciled Depreciation,779000.0,785000.0,789000.0,744000.0,528000.0
25,Net Income from Continuing Operation Net Minority Interest,6521000.0,6503000.0,2844000.0,3152000.0,5327000.0
26,Total Unusual Items Excluding Goodwill,2014000.0,1975000.0,518000.0,310000.0,388000.0
27,Total Unusual Items,2014000.0,1975000.0,518000.0,310000.0,388000.0
28,Normalized EBITDA,6618000.0,6575000.0,4777000.0,3819000.0,4241000.0
29,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
30,Tax Effect of Unusual Items,272646.0,264650.0,62160.0,83700.0,104760.0
