,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,3565000.0,2890000.0,1620000.0,5469000.0,5524000.0
1,Cost of Revenue,1539000.0,1300000.0,1094000.0,2358000.0,2408000.0
2,Gross Profit,2026000.0,1590000.0,526000.0,3111000.0,3116000.0
3,Operating Expense,1996000.0,1848000.0,1479000.0,2317000.0,2593000.0
4,Operating Income,30000.0,258000.0,953000.0,794000.0,523000.0
5,Net Non Operating Interest Income Expense,183000.0,189000.0,185000.0,184000.0,161000.0
6,Other Income Expense,353000.0,346000.0,177000.0,352000.0,939000.0
7,Pretax Income,199000.0,102000.0,961000.0,962000.0,1301000.0
8,Tax Provision,61000.0,91000.0,220000.0,30000.0,150000.0
9,Net Income Common Stockholders,257000.0,11000.0,732000.0,920000.0,1087000.0
10,Diluted NI Available to Com Stockholders,257000.0,11000.0,732000.0,920000.0,1087000.0
11,Basic EPS,0,0,1.04,1.26,1.47
12,Diluted EPS,0,0,1.04,1.26,1.47
13,Basic Average Shares,0,0,705900.0,730300.0,739800.0
14,Diluted Average Shares,0,0,705900.0,731100.0,740600.0
15,Total Operating Income as Reported,38000.0,250000.0,953000.0,799000.0,530000.0
16,Total Expenses,3535000.0,3148000.0,2573000.0,4675000.0,5001000.0
17,Net Income from Continuing & Discontinued Operation,257000.0,11000.0,732000.0,920000.0,1087000.0
18,Normalized Income,68000.0,240950.0,890841.0,592541.0,282804.0
19,Interest Income,2000.0,2000.0,8000.0,32000.0,15000.0
20,Interest Expense,185000.0,191000.0,193000.0,211000.0,170000.0
21,Net Interest Income,183000.0,189000.0,185000.0,184000.0,161000.0
22,EBIT,384000.0,89000.0,768000.0,1173000.0,1471000.0
23,EBITDA,1153000.0,0,0,0,0
24,Reconciled Cost of Revenue,1539000.0,1300000.0,1094000.0,2358000.0,2408000.0
25,Reconciled Depreciation,769000.0,762000.0,665000.0,676000.0,944000.0
26,Net Income from Continuing Operation Net Minority Interest,257000.0,11000.0,732000.0,920000.0,1087000.0
27,Total Unusual Items Excluding Goodwill,315000.0,315000.0,206000.0,338000.0,909000.0
28,Total Unusual Items,315000.0,315000.0,206000.0,338000.0,909000.0
29,Normalized EBITDA,838000.0,536000.0,309000.0,1511000.0,1506000.0
30,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
31,Tax Effect of Unusual Items,126000.0,85050.0,47159.0,10541.0,104804.0
