,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,2764800.0,2764800.0,2351646.0,2494573.0,2483666.0
1,Cost of Revenue,1540300.0,1540300.0,1324222.0,1369539.0,1365771.0
2,Gross Profit,1224500.0,1224500.0,1027424.0,1125034.0,1117895.0
3,Operating Expense,578200.0,578200.0,494935.0,524987.0,536724.0
4,Operating Income,646300.0,646300.0,532489.0,600047.0,581171.0
5,Net Non Operating Interest Income Expense,41000.0,41000.0,44746.0,44341.0,44134.0
6,Other Income Expense,25500.0,25500.0,17403.0,22803.0,8098.0
7,Pretax Income,579800.0,579800.0,470340.0,532903.0,528939.0
8,Tax Provision,130500.0,130500.0,92562.0,107382.0,118366.0
9,Net Income Common Stockholders,449400.0,449400.0,377778.0,425521.0,410573.0
10,Diluted NI Available to Com Stockholders,449400.0,449400.0,377778.0,425521.0,410573.0
11,Basic EPS,0,5.91,4.98,5.62,5.36
12,Diluted EPS,0,5.88,4.94,5.56,5.29
13,Basic Average Shares,0,76000.0,75741.0,75594.0,76412.0
14,Diluted Average Shares,0,76400.0,76400.0,76454.0,77563.0
15,Total Operating Income as Reported,637000.0,637000.0,520713.0,579003.0,569088.0
16,Total Expenses,2118500.0,2118500.0,1819157.0,1894526.0,1902495.0
17,Net Income from Continuing & Discontinued Operation,449400.0,449400.0,377778.0,425521.0,410573.0
18,Normalized Income,456608.0,456608.0,387234.0,442314.0,419949.0
19,Interest Expense,41000.0,41000.0,44746.0,44341.0,44134.0
20,Net Interest Income,41000.0,41000.0,44746.0,44341.0,44134.0
21,EBIT,620800.0,620800.0,515086.0,577244.0,573073.0
22,EBITDA,723800.0,0,0,0,0
23,Reconciled Cost of Revenue,1540300.0,1540300.0,1324222.0,1369539.0,1365771.0
24,Reconciled Depreciation,103000.0,103000.0,83495.0,76876.0,77544.0
25,Net Income from Continuing Operation Net Minority Interest,449400.0,449400.0,377778.0,425521.0,410573.0
26,Total Unusual Items Excluding Goodwill,9300.0,9300.0,11776.0,21044.0,12083.0
27,Total Unusual Items,9300.0,9300.0,11776.0,21044.0,12083.0
28,Normalized EBITDA,733100.0,733100.0,610357.0,675164.0,662700.0
29,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
30,Tax Effect of Unusual Items,2092.0,2092.0,2320.0,4251.0,2707.0
