,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,79024000.0,79024000.0,77867000.0,71965000.0,70848000.0
1,Cost of Revenue,35209000.0,35209000.0,34255000.0,29825000.0,27111000.0
2,Gross Profit,43815000.0,43815000.0,43612000.0,42140000.0,43737000.0
3,Operating Expense,21733000.0,21733000.0,19736000.0,19712000.0,20493000.0
4,Operating Income,22082000.0,22082000.0,23876000.0,22428000.0,23244000.0
5,Net Non Operating Interest Income Expense,482000.0,482000.0,504000.0,484000.0,126000.0
6,Other Income Expense,103000.0,103000.0,1706000.0,1146000.0,53000.0
7,Pretax Income,21703000.0,21703000.0,25078000.0,24058000.0,23317000.0
8,Tax Provision,1835000.0,1835000.0,4179000.0,3010000.0,2264000.0
9,Net Income Common Stockholders,19868000.0,19868000.0,20899000.0,21048000.0,21053000.0
10,Diluted NI Available to Com Stockholders,19868000.0,19868000.0,20899000.0,21048000.0,21053000.0
11,Basic EPS,0,0,4.98,4.77,4.57
12,Diluted EPS,0,0,4.94,4.71,4.48
13,Basic Average Shares,0,0,4199000.0,4417000.0,4611000.0
14,Diluted Average Shares,0,0,4232000.0,4473000.0,4701000.0
15,Total Operating Income as Reported,19456000.0,19456000.0,23678000.0,22035000.0,23316000.0
16,Total Expenses,56942000.0,56942000.0,53991000.0,49537000.0,47604000.0
17,Net Income from Continuing & Discontinued Operation,19868000.0,19868000.0,20899000.0,21048000.0,21053000.0
18,Normalized Income,19773755.0,19773755.0,19477902.0,20045250.0,21100859.0
19,Interest Income,144000.0,144000.0,272000.0,483000.0,438000.0
20,Interest Expense,597000.0,597000.0,629000.0,489000.0,468000.0
21,Net Interest Income,482000.0,482000.0,504000.0,484000.0,126000.0
22,EBIT,22300000.0,22300000.0,25707000.0,24547000.0,23785000.0
23,EBITDA,34092000.0,0,0,0,0
24,Reconciled Cost of Revenue,35209000.0,35209000.0,34255000.0,19199000.0,18226000.0
25,Reconciled Depreciation,11792000.0,11792000.0,12239000.0,10826000.0,9085000.0
26,Net Income from Continuing Operation Net Minority Interest,19868000.0,19868000.0,20899000.0,21048000.0,21053000.0
27,Total Unusual Items Excluding Goodwill,103000.0,103000.0,1706000.0,1146000.0,53000.0
28,Total Unusual Items,103000.0,103000.0,1706000.0,1146000.0,53000.0
29,Normalized EBITDA,33989000.0,33989000.0,36240000.0,34227000.0,32923000.0
30,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
31,Tax Effect of Unusual Items,8755.0,8755.0,284902.0,143250.0,5141.0
