,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,1460860.0,1460860.0,1200724.0,1314581.0,1459874.0
1,Cost of Revenue,764462.0,764462.0,661728.0,708372.0,659606.0
2,Gross Profit,696398.0,696398.0,538996.0,606209.0,800268.0
3,Operating Expense,343635.0,343635.0,307486.0,315339.0,283013.0
4,Operating Income,352763.0,352763.0,231510.0,290870.0,517255.0
5,Net Non Operating Interest Income Expense,1839.0,1839.0,6270.0,14238.0,9057.0
6,Other Income Expense,15557.0,15557.0,32111.0,56732.0,8083.0
7,Pretax Income,366481.0,366481.0,205692.0,248376.0,534395.0
8,Tax Provision,88615.0,88615.0,45354.0,68115.0,130226.0
9,Net Income Common Stockholders,278416.0,278416.0,159572.0,180234.0,404027.0
10,Diluted NI Available to Com Stockholders,278416.0,278416.0,159572.0,180234.0,404027.0
11,Basic EPS,0,5.21,3.0,3.4,7.55
12,Diluted EPS,0,5.16,2.97,3.35,7.38
13,Basic Average Shares,0,53410.0,53186.0,53061.0,53522.0
14,Diluted Average Shares,0,53930.0,53785.0,53839.0,54726.0
15,Total Operating Income as Reported,367883.0,367883.0,198659.0,233793.0,523405.0
16,Total Expenses,1108097.0,1108097.0,969214.0,1023711.0,942619.0
17,Net Income from Continuing & Discontinued Operation,278416.0,278416.0,159572.0,180234.0,404027.0
18,Normalized Income,266955.0,266955.0,185214.0,221672.0,399378.0
19,Interest Income,0,0,6270.0,0,0
20,Net Interest Income,1839.0,1839.0,6270.0,14238.0,9057.0
21,EBIT,352763.0,352763.0,231510.0,290870.0,517255.0
22,EBITDA,449093.0,0,0,0,0
23,Reconciled Cost of Revenue,764462.0,764462.0,661728.0,708372.0,659606.0
24,Reconciled Depreciation,96330.0,96330.0,94554.0,96268.0,80271.0
25,Net Income from Continuing Operation Net Minority Interest,278416.0,278416.0,159572.0,180234.0,404027.0
26,Total Unusual Items Excluding Goodwill,15120.0,15120.0,32874.0,57077.0,6150.0
27,Total Unusual Items,15120.0,15120.0,32874.0,57077.0,6150.0
28,Normalized EBITDA,433973.0,433973.0,358938.0,444215.0,591376.0
29,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
30,Tax Effect of Unusual Items,3659.0,3659.0,7232.0,15639.0,1501.0
