,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,5710100.0,5710100.0,4358400.0,4478500.0,3724200.0
1,Cost of Revenue,1751600.0,1751600.0,1497200.0,1368300.0,1120100.0
2,Gross Profit,3958500.0,3958500.0,2861200.0,3110200.0,2604100.0
3,Operating Expense,2137500.0,2137500.0,1811400.0,1735700.0,1404700.0
4,Operating Income,1821000.0,1821000.0,1049800.0,1374500.0,1199400.0
5,Net Non Operating Interest Income Expense,69300.0,69300.0,157200.0,127700.0,80100.0
6,Pretax Income,1890300.0,1890300.0,1207000.0,1502200.0,1279500.0
7,Tax Provision,162200.0,162200.0,140200.0,120400.0,154500.0
8,Net Income Common Stockholders,1704600.0,1704600.0,1060600.0,1379300.0,1127900.0
9,Diluted NI Available to Com Stockholders,1704600.0,1704600.0,1060600.0,1379300.0,1127900.0
10,Basic EPS,0,0,3.02,3.98,3.31
11,Diluted EPS,0,0,2.94,3.85,3.16
12,Basic Average Shares,0,0,351000.0,346200.0,341100.0
13,Diluted Average Shares,0,0,360900.0,358500.0,356400.0
14,Total Operating Income as Reported,1821000.0,1821000.0,1049800.0,1374500.0,1199400.0
15,Total Expenses,3889100.0,3889100.0,3308600.0,3104000.0,2524800.0
16,Net Income from Continuing & Discontinued Operation,1704600.0,1704600.0,1060600.0,1379300.0,1127900.0
17,Normalized Income,1704600.0,1704600.0,1060600.0,1379300.0,1127900.0
18,Interest Income,69300.0,69300.0,157200.0,0,0
19,Net Interest Income,69300.0,69300.0,157200.0,127700.0,80100.0
20,EBIT,1821000.0,1821000.0,1049800.0,1374500.0,1199400.0
21,EBITDA,2131200.0,0,0,0,0
22,Reconciled Cost of Revenue,1751600.0,1751600.0,1497200.0,1368300.0,1120100.0
23,Reconciled Depreciation,310200.0,310200.0,276200.0,203000.0,122800.0
24,Net Income from Continuing Operation Net Minority Interest,1704600.0,1704600.0,1060600.0,1379300.0,1127900.0
25,Normalized EBITDA,2131200.0,2131200.0,1326000.0,1577500.0,1322200.0
26,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
27,Tax Effect of Unusual Items,0.0,0.0,0.0,0.0,0.0
