,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,16120900.0,16120900.0,13978500.0,11554800.0,11333400.0
1,Cost of Revenue,10496600.0,10496600.0,9025700.0,8302300.0,8157000.0
2,Gross Profit,5624300.0,5624300.0,4952800.0,3252500.0,3176400.0
3,Operating Expense,2321700.0,2321700.0,2004700.0,1867700.0,1802600.0
4,Operating Income,3302600.0,3302600.0,2948100.0,1384800.0,1373800.0
5,Net Non Operating Interest Income Expense,212100.0,212100.0,207400.0,240700.0,244200.0
6,Other Income Expense,36100.0,36100.0,521600.0,39200.0,138700.0
7,Pretax Income,3126600.0,3126600.0,2219100.0,1104900.0,1268300.0
8,Tax Provision,747100.0,747100.0,662100.0,280000.0,384400.0
9,Net Income Common Stockholders,2377300.0,2377300.0,1556100.0,823800.0,883700.0
10,Diluted NI Available to Com Stockholders,2377300.0,2377300.0,1556100.0,823800.0,883700.0
11,Basic EPS,0,24.6,15.99,8.42,8.71
12,Diluted EPS,0,24.39,15.88,8.35,8.61
13,Basic Average Shares,0,96700.0,97300.0,97900.0,101400.0
14,Diluted Average Shares,0,97500.0,98000.0,98600.0,102600.0
15,Total Operating Income as Reported,3259500.0,3259500.0,2445400.0,1330200.0,1325700.0
16,Total Expenses,12818300.0,12818300.0,11030400.0,10170000.0,9959600.0
17,Net Income from Continuing & Discontinued Operation,2377300.0,2377300.0,1556100.0,823800.0,883700.0
18,Normalized Income,2402339.0,2402339.0,1901765.0,858013.0,911998.0
19,Interest Expense,212100.0,212100.0,207400.0,240700.0,244200.0
20,Net Interest Income,212100.0,212100.0,207400.0,240700.0,244200.0
21,EBIT,3338700.0,3338700.0,2426500.0,1345600.0,1512500.0
22,EBITDA,4083800.0,0,0,0,0
23,Reconciled Cost of Revenue,10121100.0,10121100.0,8676400.0,7968300.0,7836600.0
24,Reconciled Depreciation,745100.0,745100.0,624700.0,577200.0,552100.0
25,Net Income from Continuing Operation Net Minority Interest,2377300.0,2377300.0,1556100.0,823800.0,883700.0
26,Total Unusual Items Excluding Goodwill,32900.0,32900.0,492400.0,45800.0,40600.0
27,Total Unusual Items,32900.0,32900.0,492400.0,45800.0,40600.0
28,Normalized EBITDA,4116700.0,4116700.0,3543600.0,1968600.0,2105200.0
29,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
30,Tax Effect of Unusual Items,7861.0,7861.0,146735.0,11587.0,12302.0
