,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,8375000.0,8375000.0,7188000.0,6707000.0,8359000.0
1,Cost of Revenue,5512000.0,5512000.0,4601000.0,4336000.0,5670000.0
2,Gross Profit,2863000.0,2863000.0,2587000.0,2371000.0,2689000.0
3,Operating Expense,1413000.0,1413000.0,1292000.0,1274000.0,1478000.0
4,Operating Income,1450000.0,1450000.0,1295000.0,1097000.0,1211000.0
5,Net Non Operating Interest Income Expense,278000.0,278000.0,144000.0,159000.0,156000.0
6,Other Income Expense,484000.0,484000.0,20000.0,24000.0,13000.0
7,Pretax Income,688000.0,688000.0,1131000.0,914000.0,1042000.0
8,Tax Provision,210000.0,210000.0,269000.0,230000.0,258000.0
9,Net Income Common Stockholders,406000.0,406000.0,1215000.0,929000.0,727000.0
10,Diluted NI Available to Com Stockholders,406000.0,406000.0,1215000.0,929000.0,727000.0
11,Basic EPS,0,0,4.74,3.39,2.5
12,Diluted EPS,0,0,4.59,3.22,2.37
13,Basic Average Shares,0,0,258200.0,275600.0,293900.0
14,Diluted Average Shares,0,0,264000.0,288000.0,307000.0
15,Total Operating Income as Reported,1405000.0,1405000.0,1295000.0,1088000.0,1211000.0
16,Total Expenses,6925000.0,6925000.0,5893000.0,5610000.0,7148000.0
17,Net Income from Continuing & Discontinued Operation,408000.0,408000.0,1224000.0,935000.0,734000.0
18,Normalized Income,449400.0,449400.0,807720.0,642000.0,735500.0
19,Interest Expense,278000.0,278000.0,144000.0,159000.0,156000.0
20,Net Interest Income,278000.0,278000.0,144000.0,159000.0,156000.0
21,EBIT,966000.0,966000.0,1275000.0,1073000.0,1198000.0
22,EBITDA,1117000.0,0,0,0,0
23,Reconciled Cost of Revenue,5512000.0,5512000.0,4601000.0,4336000.0,5670000.0
24,Reconciled Depreciation,151000.0,151000.0,133000.0,159000.0,156000.0
25,Net Income from Continuing Operation Net Minority Interest,408000.0,408000.0,810000.0,639000.0,734000.0
26,Total Unusual Items Excluding Goodwill,60000.0,60000.0,3000.0,4000.0,2000.0
27,Total Unusual Items,60000.0,60000.0,3000.0,4000.0,2000.0
28,Normalized EBITDA,1177000.0,1177000.0,1405000.0,1236000.0,1356000.0
29,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
30,Tax Effect of Unusual Items,18600.0,18600.0,720.0,1000.0,500.0
