,Breakdown,ttm,11/30/2021,11/30/2020,11/30/2019,11/30/2018
0,Total Revenue,6317900.0,6317900.0,5601300.0,5347400.0,5408900.0
1,Cost of Revenue,3823300.0,3823300.0,3300900.0,3202100.0,3037300.0
2,Gross Profit,2494600.0,2494600.0,2300400.0,2145300.0,2371600.0
3,Operating Expense,1404100.0,1404100.0,1281600.0,1166800.0,1429500.0
4,Operating Income,1090500.0,1090500.0,1018800.0,978500.0,942100.0
5,Net Non Operating Interest Income Expense,127300.0,127300.0,127800.0,165200.0,174600.0
6,Other Income Expense,67400.0,67400.0,9500.0,5900.0,26200.0
7,Pretax Income,895800.0,895800.0,881500.0,819200.0,741300.0
8,Tax Provision,192700.0,192700.0,174900.0,157400.0,157300.0
9,Earnings from Equity Interest Net of Tax,52200.0,52200.0,40800.0,40900.0,34800.0
10,Net Income Common Stockholders,755300.0,755300.0,747400.0,702700.0,933400.0
11,Diluted NI Available to Com Stockholders,755300.0,755300.0,747400.0,702700.0,933400.0
12,Basic EPS,0,0,2.8,2.65,3.55
13,Diluted EPS,0,0,2.78,2.62,3.5
14,Basic Average Shares,0,0,266500.0,265200.0,262930.0
15,Diluted Average Shares,0,0,269100.0,268200.0,266686.0
16,Total Operating Income as Reported,1015100.0,1015100.0,999500.0,957700.0,903300.0
17,Total Expenses,5227400.0,5227400.0,4582500.0,4368900.0,4466800.0
18,Net Income from Continuing & Discontinued Operation,755300.0,755300.0,747400.0,702700.0,933400.0
19,Normalized Income,814489.0,814489.0,762879.0,719506.0,961724.0
20,Interest Income,9300.0,9300.0,7800.0,0,0
21,Interest Expense,136600.0,136600.0,135600.0,165200.0,174600.0
22,Net Interest Income,127300.0,127300.0,127800.0,165200.0,174600.0
23,EBIT,1032400.0,1032400.0,1017100.0,984400.0,915900.0
24,EBITDA,1218700.0,0,0,0,0
25,Reconciled Cost of Revenue,3823300.0,3823300.0,3300900.0,3202100.0,3037300.0
26,Reconciled Depreciation,186300.0,186300.0,165000.0,158800.0,150700.0
27,Net Income from Continuing Operation Net Minority Interest,755300.0,755300.0,747400.0,702700.0,933400.0
28,Total Unusual Items Excluding Goodwill,75400.0,75400.0,19300.0,20800.0,38800.0
29,Total Unusual Items,75400.0,75400.0,19300.0,20800.0,38800.0
30,Normalized EBITDA,1294100.0,1294100.0,1201400.0,1164000.0,1105400.0
31,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
32,Tax Effect of Unusual Items,16211.0,16211.0,3821.0,3994.0,10476.0
