,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,17069000.0,17069000.0,17997000.0,19204000.0,16727000.0
1,Cost of Revenue,8480000.0,8480000.0,7290000.0,8003000.0,7062000.0
2,Gross Profit,8589000.0,8589000.0,10707000.0,11201000.0,9665000.0
3,Operating Expense,5583000.0,5583000.0,5668000.0,5846000.0,5323000.0
4,Operating Income,3006000.0,3006000.0,5039000.0,5355000.0,4342000.0
5,Net Non Operating Interest Income Expense,1270000.0,1270000.0,1912000.0,2195000.0,1447000.0
6,Other Income Expense,1439000.0,1439000.0,714000.0,676000.0,4457000.0
7,Pretax Income,3175000.0,3175000.0,2413000.0,3836000.0,7352000.0
8,Tax Provision,348000.0,348000.0,44000.0,448000.0,1576000.0
9,Net Income Common Stockholders,3573000.0,3573000.0,2919000.0,3769000.0,6638000.0
10,Average Dilution Earnings,0,0,0,0.0,19000.0
11,Diluted NI Available to Com Stockholders,3573000.0,3573000.0,2919000.0,3769000.0,6619000.0
12,Basic EPS,0,1.82,1.49,1.93,3.47
13,Diluted EPS,0,1.81,1.48,1.93,3.47
14,Basic Average Shares,0,1962500.0,1960000.0,1956000.0,1912000.0
15,Diluted Average Shares,0,1972200.0,1969000.0,1956000.0,1912000.0
16,Total Operating Income as Reported,2913000.0,2913000.0,5116000.0,5353000.0,4280000.0
17,Total Expenses,14063000.0,14063000.0,12958000.0,13849000.0,12385000.0
18,Interest Income,0,0,38000.0,54000.0,51000.0
19,Interest Expense,1270000.0,1270000.0,1950000.0,2249000.0,1498000.0
20,Net Interest Income,1270000.0,1270000.0,1912000.0,2195000.0,1447000.0
21,Net Income from Continuing & Discontinued Operation,3573000.0,3573000.0,2919000.0,3769000.0,6638000.0
22,Normalized Income,3204540.0,3204540.0,2363188.0,3246264.0,3583604.0
23,EBIT,4445000.0,4445000.0,4363000.0,6085000.0,8850000.0
24,EBITDA,8659000.0,0,0,0,0
25,Reconciled Cost of Revenue,8190000.0,8190000.0,7027000.0,7741000.0,6826000.0
26,Reconciled Depreciation,4214000.0,4214000.0,4315000.0,4478000.0,4147000.0
27,Net Income from Continuing Operation Net Minority Interest,3573000.0,3573000.0,2919000.0,3769000.0,6638000.0
28,Total Unusual Items Excluding Goodwill,414000.0,414000.0,566000.0,592000.0,3886000.0
29,Total Unusual Items,414000.0,414000.0,566000.0,592000.0,3886000.0
30,Normalized EBITDA,8245000.0,8245000.0,8112000.0,9971000.0,9111000.0
31,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
32,Tax Effect of Unusual Items,45540.0,45540.0,10188.0,69264.0,831604.0
