,Breakdown,ttm,5/31/2021,5/31/2020,5/31/2019,5/31/2018
0,Total Revenue,46820000.0,44538000.0,37403000.0,39117000.0,36397000.0
1,Cost of Revenue,25189000.0,24576000.0,21162000.0,21643000.0,20441000.0
2,Gross Profit,21631000.0,19962000.0,16241000.0,17474000.0,15956000.0
3,Operating Expense,14511000.0,13025000.0,13126000.0,12702000.0,11511000.0
4,Operating Income,7120000.0,6937000.0,3115000.0,4772000.0,4445000.0
5,Net Non Operating Interest Income Expense,228000.0,262000.0,89000.0,49000.0,54000.0
6,Other Income Expense,239000.0,14000.0,139000.0,78000.0,66000.0
7,Pretax Income,7131000.0,6661000.0,2887000.0,4801000.0,4325000.0
8,Tax Provision,1015000.0,934000.0,348000.0,772000.0,2392000.0
9,Net Income Common Stockholders,6116000.0,5727000.0,2539000.0,4029000.0,1933000.0
10,Diluted NI Available to Com Stockholders,6116000.0,5727000.0,2539000.0,4029000.0,1933000.0
11,Basic EPS,0,3.64,1.63,2.55,1.19
12,Diluted EPS,0,3.56,1.6,2.49,1.17
13,Basic Average Shares,0,1573000.0,1558800.0,1579700.0,1623800.0
14,Diluted Average Shares,0,1609400.0,1591600.0,1618400.0,1659100.0
15,Total Expenses,39700000.0,37601000.0,34288000.0,34345000.0,31952000.0
16,Net Income from Continuing & Discontinued Operation,6116000.0,5727000.0,2539000.0,4029000.0,1933000.0
17,Normalized Income,6116000.0,5727000.0,2539000.0,4029000.0,1933000.0
18,Net Interest Income,228000.0,262000.0,89000.0,49000.0,54000.0
19,EBIT,7120000.0,6937000.0,3115000.0,4772000.0,4445000.0
20,EBITDA,7120000.0,0,0,0,0
21,Reconciled Cost of Revenue,25189000.0,24576000.0,21162000.0,21643000.0,20441000.0
22,Reconciled Depreciation,0,797000.0,1119000.0,720000.0,774000.0
23,Net Income from Continuing Operation Net Minority Interest,6116000.0,5727000.0,2539000.0,4029000.0,1933000.0
24,Normalized EBITDA,7120000.0,7734000.0,4234000.0,5492000.0,5219000.0
25,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
26,Tax Effect of Unusual Items,0.0,0.0,0.0,0.0,0.0
