,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,36483939.0,36483939.0,20139658.0,22588858.0,25067279.0
1,Cost of Revenue,25458525.0,25458525.0,17911708.0,19909773.0,20771871.0
2,Gross Profit,11025414.0,11025414.0,2227950.0,2679085.0,4295408.0
3,Operating Expense,1706609.0,1706609.0,615041.0,711248.0,860722.0
4,Operating Income,9318805.0,9318805.0,1612909.0,1967837.0,3434686.0
5,Net Non Operating Interest Income Expense,158854.0,158854.0,153198.0,121425.0,135535.0
6,Other Income Expense,40907.0,40907.0,624173.0,63605.0,69760.0
7,Pretax Income,9200858.0,9200858.0,835538.0,1782807.0,3229391.0
8,Tax Provision,2078488.0,2078488.0,490.0,411897.0,748307.0
9,Net Income Common Stockholders,6827461.0,6827461.0,717114.0,1264108.0,2351423.0
10,Average Dilution Earnings,0,0,3.0,1.0,27.0
11,Diluted NI Available to Com Stockholders,6827461.0,6827461.0,717111.0,1264109.0,2351450.0
12,Basic EPS,0,0,2.37,4.14,7.44
13,Diluted EPS,0,0,2.36,4.14,7.42
14,Basic Average Shares,0,0,303168.0,305040.0,315858.0
15,Diluted Average Shares,0,0,303271.0,305503.0,316733.0
16,Total Expenses,27165134.0,27165134.0,18526749.0,20621021.0,21632593.0
17,Interest Income,0,0,13415.0,35933.0,25721.0
18,Interest Expense,158854.0,158854.0,166613.0,157358.0,161256.0
19,Net Interest Income,158854.0,158854.0,153198.0,121425.0,135535.0
20,Net Income from Continuing & Discontinued Operation,6827461.0,6827461.0,721470.0,1271143.0,2360767.0
21,Normalized Income,6875580.0,6875580.0,1169427.0,1322601.0,2445247.0
22,EBIT,9359712.0,9359712.0,1002151.0,1940165.0,3390647.0
23,EBITDA,10224275.0,0,0,0,0
24,Reconciled Cost of Revenue,25458525.0,25458525.0,17911708.0,19909773.0,20771871.0
25,Reconciled Depreciation,864563.0,864563.0,785466.0,734653.0,719637.0
26,Net Income from Continuing Operation Net Minority Interest,6827461.0,6827461.0,721470.0,1271143.0,2360767.0
27,Total Unusual Items Excluding Goodwill,62161.0,62161.0,613640.0,66916.0,110000.0
28,Total Unusual Items,62161.0,62161.0,613640.0,66916.0,110000.0
29,Normalized EBITDA,10286436.0,10286436.0,2401257.0,2741734.0,4220284.0
30,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
31,Tax Effect of Unusual Items,14042.0,14042.0,165683.0,15458.0,25520.0
