,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,10589000.0,10589000.0,9385000.0,9714900.0,8630900.0
1,Cost of Revenue,7293000.0,7293000.0,6306000.0,6495500.0,5622100.0
2,Gross Profit,3296000.0,3296000.0,3079000.0,3219400.0,3008800.0
3,Operating Expense,2274000.0,2274000.0,2189000.0,2451000.0,2434800.0
4,Operating Income,1022000.0,1022000.0,890000.0,768400.0,574000.0
5,Net Non Operating Interest Income Expense,256000.0,256000.0,274000.0,303300.0,446300.0
6,Other Income Expense,73000.0,73000.0,1622000.0,1316700.0,8395400.0
7,Pretax Income,693000.0,693000.0,1006000.0,851600.0,8267700.0
8,Tax Provision,121000.0,121000.0,236000.0,1037700.0,1478100.0
9,Net Income Common Stockholders,572000.0,572000.0,770000.0,106600.0,6917900.0
10,Diluted NI Available to Com Stockholders,572000.0,572000.0,770000.0,106600.0,6917900.0
11,Basic EPS,0,0,1.82,0.25,14.6
12,Diluted EPS,0,0,1.82,0.25,14.6
13,Basic Average Shares,0,0,424100.0,423300.0,473700.0
14,Diluted Average Shares,0,0,424100.0,423900.0,473700.0
15,Total Operating Income as Reported,946000.0,946000.0,634000.0,481700.0,7828500.0
16,Total Expenses,9567000.0,9567000.0,8495000.0,8946500.0,8056900.0
17,Net Income from Continuing & Discontinued Operation,572000.0,572000.0,770000.0,106600.0,6917900.0
18,Normalized Income,642210.0,642210.0,431050.0,1143860.0,112219.0
19,Interest Expense,256000.0,256000.0,274000.0,0,0
20,Net Interest Income,256000.0,256000.0,274000.0,303300.0,446300.0
21,EBIT,949000.0,949000.0,732000.0,768400.0,574000.0
22,EBITDA,1274000.0,0,0,0,0
23,Reconciled Cost of Revenue,7293000.0,7293000.0,6306000.0,6495500.0,5622100.0
24,Reconciled Depreciation,325000.0,325000.0,357000.0,446000.0,433900.0
25,Net Income from Continuing Operation Net Minority Interest,572000.0,572000.0,770000.0,186100.0,6789600.0
26,Total Unusual Items Excluding Goodwill,85000.0,85000.0,1570000.0,1312000.0,8406600.0
27,Total Unusual Items,85000.0,85000.0,1570000.0,1312000.0,8406600.0
28,Normalized EBITDA,1359000.0,1359000.0,1195000.0,2526400.0,9414500.0
29,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
30,Tax Effect of Unusual Items,14790.0,14790.0,368950.0,354240.0,1504781.0
