,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,79474000.0,79474000.0,70372000.0,67161000.0,64661000.0
1,Cost of Revenue,37075000.0,37075000.0,31797000.0,30132000.0,29381000.0
2,Gross Profit,42399000.0,42399000.0,38575000.0,37029000.0,35280000.0
3,Operating Expense,31237000.0,31237000.0,28495000.0,26738000.0,25170000.0
4,Operating Income,11162000.0,11162000.0,10080000.0,10291000.0,10110000.0
5,Net Non Operating Interest Income Expense,1863000.0,1863000.0,1128000.0,935000.0,1219000.0
6,Other Income Expense,522000.0,522000.0,117000.0,44000.0,298000.0
7,Pretax Income,9821000.0,9821000.0,9069000.0,9312000.0,9189000.0
8,Tax Provision,2142000.0,2142000.0,1894000.0,1959000.0,3370000.0
9,Net Income Common Stockholders,7618000.0,7618000.0,7120000.0,7314000.0,12513000.0
10,Average Dilution Earnings,0,0,0.0,0.0,2000.0
11,Diluted NI Available to Com Stockholders,7618000.0,7618000.0,7120000.0,7314000.0,12515000.0
12,Basic EPS,0,0,5.16,5.26,8.84
13,Diluted EPS,0,0,5.12,5.2,8.78
14,Basic Average Shares,0,0,1380000.0,1391000.0,1415000.0
15,Diluted Average Shares,0,0,1392000.0,1407000.0,1425000.0
16,Total Operating Income as Reported,11162000.0,11162000.0,10080000.0,10291000.0,10110000.0
17,Total Expenses,68312000.0,68312000.0,60292000.0,56870000.0,54551000.0
18,Net Income from Continuing & Discontinued Operation,7618000.0,7618000.0,7120000.0,7314000.0,12515000.0
19,Normalized Income,7618000.0,7618000.0,7120000.0,7314000.0,12515000.0
20,Interest Income,0,0,0,200000.0,306000.0
21,Interest Expense,1863000.0,1863000.0,1128000.0,1135000.0,1525000.0
22,Net Interest Income,1863000.0,1863000.0,1128000.0,935000.0,1219000.0
23,EBIT,11684000.0,11684000.0,10197000.0,10447000.0,10714000.0
24,EBITDA,14899000.0,0,0,0,0
25,Reconciled Cost of Revenue,37075000.0,37075000.0,31797000.0,30132000.0,29381000.0
26,Reconciled Depreciation,3215000.0,3215000.0,2548000.0,2432000.0,2399000.0
27,Net Income from Continuing Operation Net Minority Interest,7618000.0,7618000.0,7120000.0,7314000.0,12515000.0
28,Normalized EBITDA,14899000.0,14899000.0,12745000.0,12879000.0,13113000.0
29,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
30,Tax Effect of Unusual Items,0.0,0.0,0.0,0.0,0.0
