,Breakdown,ttm,6/30/2021,6/30/2020,6/30/2019,6/30/2018
0,Total Revenue,15292584.0,14347640.0,13695520.0,14320324.0,14302392.0
1,Cost of Revenue,11023688.0,10449680.0,10286518.0,10703484.0,10762841.0
2,Gross Profit,4268896.0,3897960.0,3409002.0,3616840.0,3539551.0
3,Operating Expense,1589354.0,1527302.0,1656553.0,1543939.0,1657152.0
4,Operating Income,2679542.0,2370658.0,1752449.0,2072901.0,1882399.0
5,Net Non Operating Interest Income Expense,234798.0,243036.0,277161.0,190138.0,213873.0
6,Other Income Expense,127668.0,119332.0,37227.0,50662.0,33751.0
7,Pretax Income,2317960.0,2246957.0,1512627.0,1933425.0,1702277.0
8,Tax Provision,500560.0,500096.0,305924.0,420494.0,640962.0
9,Net Income Common Stockholders,1816703.0,1746100.0,1206341.0,1512364.0,1060801.0
10,Diluted NI Available to Com Stockholders,1816703.0,1746100.0,1206341.0,1512364.0,1060801.0
11,Basic EPS,0,13.54,9.39,11.48,7.98
12,Diluted EPS,0,13.35,9.29,11.48,7.83
13,Basic Average Shares,0,129000.0,128418.0,129998.0,133005.0
14,Diluted Average Shares,0,130834.0,129805.0,131782.0,135427.0
15,Total Expenses,12613042.0,11976982.0,11943071.0,12247423.0,12419993.0
16,Net Income from Continuing & Discontinued Operation,1816703.0,1746100.0,1206341.0,1512364.0,1060801.0
17,Normalized Income,1959140.0,1661149.0,1205362.0,1520652.0,1058008.0
18,Interest Income,7000.0,7000.0,31000.0,0,0
19,Interest Expense,241798.0,250036.0,308161.0,190138.0,213873.0
20,Net Interest Income,234798.0,243036.0,277161.0,190138.0,213873.0
21,EBIT,2559758.0,2496993.0,1820788.0,2123563.0,1916150.0
22,EBITDA,3146513.0,0,0,0,0
23,Reconciled Cost of Revenue,11023688.0,10449680.0,10286518.0,10703484.0,10762841.0
24,Reconciled Depreciation,586755.0,595390.0,537531.0,436189.0,466085.0
25,Net Income from Continuing Operation Net Minority Interest,1816703.0,1746100.0,1206341.0,1512364.0,1060801.0
26,Total Unusual Items Excluding Goodwill,181668.0,109332.0,1227.0,10585.0,4483.0
27,Total Unusual Items,181668.0,109332.0,1227.0,10585.0,4483.0
28,Normalized EBITDA,3328181.0,2983051.0,2357092.0,2570337.0,2377752.0
29,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
30,Tax Effect of Unusual Items,39231.0,24381.0,247.854,2297.0,1690.0
