,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,4759440.0,4759440.0,4438735.0,3330621.0,2804449.0
1,Cost of Revenue,1248487.0,1248487.0,1170104.0,918927.0,757688.0
2,Gross Profit,3510953.0,3510953.0,3268631.0,2411694.0,2046761.0
3,Operating Expense,1893544.0,1893544.0,1866824.0,1419746.0,1199759.0
4,Operating Income,1617409.0,1617409.0,1401807.0,991948.0,847002.0
5,Net Non Operating Interest Income Expense,265357.0,265357.0,313463.0,215740.0,214478.0
6,Other Income Expense,1970796.0,1970796.0,658744.0,1000155.0,1253766.0
7,Pretax Income,3322848.0,3322848.0,1747088.0,1776363.0,1886290.0
8,Tax Provision,174258.0,174258.0,130458.0,74517.0,63330.0
9,Net Income Common Stockholders,2933571.0,2933571.0,1473122.0,1566950.0,1643426.0
10,Average Dilution Earnings,82092.0,82092.0,41938.0,46986.0,49743.0
11,Diluted NI Available to Com Stockholders,3015663.0,3015663.0,1515060.0,1613936.0,1693169.0
12,Basic EPS,0,0,2.02,2.48,2.9
13,Diluted EPS,0,0,2.01,2.46,2.87
14,Basic Average Shares,0,0,728323.0,630580.0,567367.0
15,Diluted Average Shares,0,0,754414.0,654903.0,590239.0
16,Total Operating Income as Reported,3206996.0,3206996.0,2118944.0,1849766.0,847002.0
17,Total Expenses,3142031.0,3142031.0,3036928.0,2338673.0,1957447.0
18,Net Income from Continuing & Discontinued Operation,2939723.0,2939723.0,1481814.0,1572959.0,1649361.0
19,Normalized Income,1455335.0,1455335.0,1147424.0,806540.0,725935.0
20,Interest Income,871.0,871.0,1044.0,24213.0,14663.0
21,Interest Expense,250094.0,250094.0,299907.0,226660.0,215898.0
22,Net Interest Income,265357.0,265357.0,313463.0,215740.0,214478.0
23,EBIT,3572942.0,3572942.0,2046995.0,2003023.0,2102188.0
24,EBITDA,5150884.0,0,0,0,0
25,Reconciled Cost of Revenue,1248487.0,1248487.0,1170104.0,918927.0,757688.0
26,Reconciled Depreciation,1577942.0,1577942.0,1561969.0,1139879.0,947214.0
27,Net Income from Continuing Operation Net Minority Interest,2939723.0,2939723.0,1481814.0,1572959.0,1649361.0
28,Total Unusual Items Excluding Goodwill,1566541.0,1566541.0,361374.0,799977.0,955506.0
29,Total Unusual Items,1566541.0,1566541.0,361374.0,799977.0,955506.0
30,Normalized EBITDA,3584343.0,3584343.0,3247590.0,2342925.0,2093896.0
31,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
32,Tax Effect of Unusual Items,82153.0,82153.0,26984.0,33558.0,32080.0
