,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,111476000.0,111476000.0,64129000.0,107293000.0,111461000.0
1,Cost of Revenue,103707000.0,103707000.0,59102000.0,96870000.0,99286000.0
2,Gross Profit,7769000.0,7769000.0,5027000.0,10423000.0,12175000.0
3,Operating Expense,7301000.0,7301000.0,6571000.0,7164000.0,6982000.0
4,Operating Income,468000.0,468000.0,1544000.0,3259000.0,5193000.0
5,Net Non Operating Interest Income Expense,594000.0,594000.0,507000.0,438000.0,482000.0
6,Other Income Expense,1866000.0,1866000.0,2913000.0,1357000.0,2734000.0
7,Pretax Income,1740000.0,1740000.0,4964000.0,4178000.0,7445000.0
8,Tax Provision,146000.0,146000.0,1250000.0,801000.0,1572000.0
9,Net Income Common Stockholders,1306000.0,1306000.0,3983000.0,3070000.0,5589000.0
10,Average Dilution Earnings,0.0,0.0,0.0,4000.0,6000.0
11,Diluted NI Available to Com Stockholders,1306000.0,1306000.0,3983000.0,3074000.0,5595000.0
12,Basic EPS,0,2.97,9.06,6.8,11.87
13,Diluted EPS,0,2.97,9.06,6.77,11.8
14,Basic Average Shares,0,440028.0,439530.0,451364.0,470708.0
15,Diluted Average Shares,0,440364.0,439530.0,453888.0,474047.0
16,Total Expenses,111008000.0,111008000.0,65673000.0,104034000.0,106268000.0
17,Interest Income,11000.0,11000.0,14000.0,43000.0,45000.0
18,Interest Expense,605000.0,605000.0,521000.0,481000.0,527000.0
19,Net Interest Income,594000.0,594000.0,507000.0,438000.0,482000.0
20,Net Income from Continuing & Discontinued Operation,1315000.0,1315000.0,3975000.0,3076000.0,5595000.0
21,Normalized Income,2337359.0,2337359.0,865535.0,3759806.0,5561868.0
22,EBIT,2345000.0,2345000.0,4443000.0,4659000.0,7972000.0
23,EBITDA,3950000.0,0,0,0,0
24,Reconciled Cost of Revenue,103707000.0,103707000.0,59102000.0,96870000.0,99286000.0
25,Reconciled Depreciation,1605000.0,1605000.0,1395000.0,1341000.0,1356000.0
26,Net Income from Continuing Operation Net Minority Interest,1315000.0,1315000.0,3975000.0,3076000.0,5595000.0
27,Total Unusual Items Excluding Goodwill,1116000.0,1116000.0,4156000.0,846000.0,42000.0
28,Total Unusual Items,1116000.0,1116000.0,4156000.0,846000.0,42000.0
29,Normalized EBITDA,5066000.0,5066000.0,1108000.0,6846000.0,9286000.0
30,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
31,Tax Effect of Unusual Items,93641.0,93641.0,1046535.0,162194.0,8868.0
