,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,2001416.0,2001416.0,1594340.0,1339541.0,1322265.0
1,Credit Losses Provision,50042.0,50042.0,248094.0,22636.0,162524.0
2,Non Interest Expense,703600.0,703600.0,614054.0,529269.0,486278.0
3,Pretax Income,1247774.0,1247774.0,732192.0,787636.0,673463.0
4,Tax Provision,329333.0,329333.0,203833.0,198710.0,168121.0
5,Net Income Common Stockholders,880554.0,880554.0,528359.0,587013.0,504428.0
6,Diluted NI Available to Com Stockholders,880554.0,880554.0,528359.0,587013.0,504428.0
7,Basic EPS,0,0,10.0,10.92,9.27
8,Diluted EPS,0,0,9.96,10.87,9.23
9,Basic Average Shares,0,0,52641.0,53774.0,54406.0
10,Diluted Average Shares,0,0,52899.0,54011.0,54666.0
11,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,1830482.0,1830482.0,1270998.0,1288957.0,1136463.0
12,Net Income from Continuing & Discontinued Operation,918441.0,918441.0,528359.0,588926.0,505342.0
13,Normalized Income,918441.0,918441.0,528359.0,588926.0,505342.0
14,Reconciled Depreciation,21005.0,21005.0,20684.0,20147.0,14007.0
15,Net Income from Continuing Operation Net Minority Interest,918441.0,918441.0,528359.0,588926.0,505342.0
16,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
17,Tax Effect of Unusual Items,0.0,0.0,0.0,0.0,0.0
