,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,5533800.0,5533800.0,4903200.0,4791100.0,4732700.0
1,Cost of Revenue,3852900.0,3852900.0,3293900.0,3226300.0,3230600.0
2,Gross Profit,1680900.0,1680900.0,1609300.0,1564800.0,1502100.0
3,Operating Expense,811200.0,811200.0,810200.0,944400.0,798000.0
4,Operating Income,869700.0,869700.0,799100.0,620400.0,704100.0
5,Net Non Operating Interest Income Expense,172800.0,172800.0,180700.0,189100.0,182300.0
6,Other Income Expense,19300.0,19300.0,7800.0,61000.0,64000.0
7,Pretax Income,716200.0,716200.0,626200.0,370300.0,457800.0
8,Tax Provision,225000.0,225000.0,142100.0,76600.0,307500.0
9,Net Income Common Stockholders,506800.0,506800.0,502700.0,262500.0,192200.0
10,Average Dilution Earnings,0,0,0.0,0.0,0.0
11,Diluted NI Available to Com Stockholders,506800.0,506800.0,502700.0,262500.0,192200.0
12,Basic EPS,0,3.36,3.24,1.7,1.21
13,Diluted EPS,0,3.32,3.22,1.69,1.2
14,Basic Average Shares,0,150900.0,155200.0,154300.0,159400.0
15,Diluted Average Shares,0,152400.0,156000.0,155200.0,160200.0
16,Total Operating Income as Reported,900900.0,900900.0,788100.0,578500.0,656300.0
17,Total Expenses,4664100.0,4664100.0,4104100.0,4170700.0,4028600.0
18,Net Income from Continuing & Discontinued Operation,506800.0,506800.0,502900.0,263000.0,193100.0
19,Normalized Income,486467.0,486467.0,483250.0,349448.0,199210.0
20,Interest Income,0,0,10200.0,0,15100.0
21,Interest Expense,167800.0,167800.0,184600.0,184100.0,193000.0
22,Net Interest Income,172800.0,172800.0,180700.0,189100.0,182300.0
23,EBIT,884000.0,884000.0,810800.0,554400.0,650800.0
24,EBITDA,1070400.0,0,0,0,0
25,Reconciled Cost of Revenue,3705300.0,3705300.0,3157200.0,3104400.0,3115100.0
26,Reconciled Depreciation,186400.0,186400.0,174200.0,150800.0,131200.0
27,Net Income from Continuing Operation Net Minority Interest,491200.0,491200.0,484100.0,293700.0,150300.0
28,Total Unusual Items Excluding Goodwill,6900.0,6900.0,1100.0,70300.0,67000.0
29,Total Unusual Items,6900.0,6900.0,1100.0,70300.0,67000.0
30,Normalized EBITDA,1063500.0,1063500.0,983900.0,775500.0,849000.0
31,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
32,Tax Effect of Unusual Items,2167.0,2167.0,249.7,14552.0,18090.0
