,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,5917000.0,5917000.0,3919849.0,3259500.0,2601022.0
1,Credit Losses Provision,123000.0,123000.0,219510.0,106416.0,87870.0
2,Non Interest Expense,2941000.0,2941000.0,1958458.0,1533722.0,1150243.0
3,Special Income Charges,129000.0,129000.0,0.0,8960.0,0
4,Pretax Income,2724000.0,2724000.0,1741881.0,1610402.0,1362909.0
5,Tax Provision,651000.0,651000.0,447587.0,425685.0,351561.0
6,Net Income Common Stockholders,1770000.0,1770000.0,1191217.0,1136856.0,973840.0
7,Diluted NI Available to Com Stockholders,1770000.0,1770000.0,1191217.0,1136856.0,973840.0
8,Basic EPS,0,0,23.05,21.9,18.35
9,Diluted EPS,0,0,22.87,21.73,18.11
10,Basic Average Shares,0,0,51685.0,51915.0,53078.0
11,Diluted Average Shares,0,0,52084.0,52311.0,53771.0
12,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,3056000.0,3056000.0,1936774.0,1990185.0,1806118.0
13,Net Income from Continuing & Discontinued Operation,1833000.0,1833000.0,1208368.0,1136856.0,973840.0
14,Normalized Income,1931171.0,1931171.0,1208368.0,1143379.0,973840.0
15,Total Money Market Investments,18000.0,18000.0,25542.0,96440.0,35208.0
16,Reconciled Depreciation,0,0,100840.0,82717.0,57906.0
17,Net Income from Continuing Operation Net Minority Interest,1833000.0,1833000.0,1208368.0,1136856.0,973840.0
18,Total Unusual Items Excluding Goodwill,129000.0,129000.0,0.0,8960.0,0
19,Total Unusual Items,129000.0,129000.0,0.0,8960.0,0
20,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
21,Tax Effect of Unusual Items,30829.0,30829.0,0.0,2437.0,0.0
