,Breakdown,ttm,10/31/2021,10/31/2020,10/31/2019,10/31/2018
0,Total Revenue,4504127.0,4204193.0,3685281.0,3360694.0,3121058.0
1,Cost of Revenue,910762.0,861777.0,794690.0,752946.0,735898.0
2,Gross Profit,3593365.0,3342416.0,2890591.0,2607748.0,2385160.0
3,Operating Expense,2614736.0,2574221.0,2234391.0,2040331.0,2011990.0
4,Operating Income,978629.0,768195.0,656200.0,567417.0,373170.0
5,Net Non Operating Interest Income Expense,136.0,923.0,1579.0,4800.0,10284.0
6,Other Income Expense,22840.0,38242.0,16462.0,17111.0,657.0
7,Pretax Income,955653.0,805514.0,638159.0,545506.0,363543.0
8,Tax Provision,47981.0,49155.0,25288.0,13139.0,68975.0
9,Net Income Common Stockholders,908858.0,757516.0,664347.0,532367.0,432518.0
10,Diluted NI Available to Com Stockholders,908858.0,757516.0,664347.0,532367.0,432518.0
11,Basic EPS,0,0,4.4,3.55,2.9
12,Diluted EPS,0,0,4.27,3.45,2.82
13,Basic Average Shares,0,0,151135.0,149872.0,149036.0
14,Diluted Average Shares,0,0,155706.0,154190.0,153393.0
15,Total Operating Income as Reported,933478.0,734790.0,620141.0,520231.0,360225.0
16,Total Expenses,3525498.0,3435998.0,3029081.0,2793277.0,2747888.0
17,Net Income from Continuing & Discontinued Operation,908858.0,757516.0,664347.0,532367.0,432518.0
18,Normalized Income,947389.0,783914.0,686623.0,574919.0,439371.0
19,Interest Income,2990.0,2442.0,3561.0,6859.0,5323.0
20,Interest Expense,3126.0,3365.0,5140.0,11659.0,15607.0
21,Net Interest Income,136.0,923.0,1579.0,4800.0,10284.0
22,EBIT,958779.0,808879.0,643299.0,557165.0,379150.0
23,EBITDA,1173512.0,0,0,0,0
24,Reconciled Cost of Revenue,730558.0,692020.0,623533.0,592561.0,568321.0
25,Reconciled Depreciation,214733.0,203676.0,209986.0,201676.0,209207.0
26,Net Income from Continuing Operation Net Minority Interest,908858.0,757516.0,664347.0,532367.0,432518.0
27,Total Unusual Items Excluding Goodwill,40568.0,28113.0,30515.0,43598.0,9388.0
28,Total Unusual Items,40568.0,28113.0,30515.0,43598.0,9388.0
29,Normalized EBITDA,1214080.0,1040668.0,883800.0,802439.0,597745.0
30,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
31,Tax Effect of Unusual Items,2037.0,1715.0,8239.0,1046.0,2535.0
