,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,5116789.0,5116789.0,4607503.0,5755189.0,5657919.0
1,Cost of Revenue,971064.0,971064.0,887154.0,1021644.0,1007964.0
2,Gross Profit,4145725.0,4145725.0,3720349.0,4733545.0,4649955.0
3,Operating Expense,1732535.0,1732535.0,1748540.0,1825714.0,1738868.0
4,Operating Income,2413190.0,2413190.0,1971809.0,2907831.0,2911087.0
5,Net Non Operating Interest Income Expense,795712.0,795712.0,784400.0,789353.0,815923.0
6,Other Income Expense,1108428.0,1108428.0,85278.0,334764.0,764077.0
7,Pretax Income,2725906.0,2725906.0,1272687.0,2453242.0,2859241.0
8,Tax Provision,157199.0,157199.0,4637.0,30054.0,36898.0
9,Net Income Common Stockholders,2246294.0,2246294.0,1109227.0,2098247.0,2436721.0
10,Diluted NI Available to Com Stockholders,2246294.0,2246294.0,1109227.0,2098247.0,2436721.0
11,Basic EPS,0,0,3.59,6.81,7.87
12,Diluted EPS,0,0,3.59,6.81,7.87
13,Basic Average Shares,0,0,308738.0,308113.0,309627.0
14,Diluted Average Shares,0,0,308738.0,308113.0,309627.0
15,Total Operating Income as Reported,2413190.0,2413190.0,1971809.0,2907831.0,2911087.0
16,Total Expenses,2703599.0,2703599.0,2635694.0,2847358.0,2746832.0
17,Net Income from Continuing & Discontinued Operation,2249631.0,2249631.0,1112564.0,2101584.0,2440058.0
18,Normalized Income,1942816.0,1942816.0,1210816.0,2209827.0,2154958.0
19,Interest Expense,795712.0,795712.0,784400.0,789353.0,815923.0
20,Net Interest Income,795712.0,795712.0,784400.0,789353.0,815923.0
21,EBIT,3521618.0,3521618.0,2057087.0,3242595.0,3675164.0
22,EBITDA,4847513.0,0,0,0,0
23,Reconciled Cost of Revenue,907884.0,907884.0,850171.0,967975.0,940642.0
24,Reconciled Depreciation,1325895.0,1325895.0,1354991.0,1394172.0,1349776.0
25,Net Income from Continuing Operation Net Minority Interest,2249631.0,2249631.0,1112564.0,2101584.0,2440058.0
26,Total Unusual Items Excluding Goodwill,325591.0,325591.0,134592.0,109585.0,288827.0
27,Total Unusual Items,325591.0,325591.0,134592.0,109585.0,288827.0
28,Normalized EBITDA,4521922.0,4521922.0,3546670.0,4746352.0,4736113.0
29,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
30,Tax Effect of Unusual Items,18776.0,18776.0,36340.0,1342.0,3727.0
