,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,8297000.0,8297000.0,7442000.0,6699000.0,6258000.0
1,Cost of Revenue,2195000.0,2195000.0,2092000.0,1801000.0,1701000.0
2,Gross Profit,6102000.0,6102000.0,5350000.0,4898000.0,4557000.0
3,Operating Expense,1892000.0,1892000.0,1749000.0,1721000.0,1767000.0
4,Operating Income,4210000.0,4210000.0,3601000.0,3177000.0,2790000.0
5,Net Non Operating Interest Income Expense,119000.0,119000.0,141000.0,198000.0,134000.0
6,Other Income Expense,73000.0,73000.0,232000.0,49000.0,25000.0
7,Pretax Income,4164000.0,4164000.0,3228000.0,2930000.0,2681000.0
8,Tax Provision,901000.0,901000.0,694000.0,627000.0,560000.0
9,Net Income Common Stockholders,3024000.0,3024000.0,2339000.0,2123000.0,1958000.0
10,Diluted NI Available to Com Stockholders,3024000.0,3024000.0,2339000.0,2123000.0,1958000.0
11,Basic EPS,0,0,9.71,8.65,7.8
12,Diluted EPS,0,0,9.66,8.6,7.73
13,Basic Average Shares,0,0,241000.0,245400.0,250900.0
14,Diluted Average Shares,0,0,242100.0,246900.0,253200.0
15,Total Operating Income as Reported,4221000.0,4221000.0,3617000.0,3226000.0,2790000.0
16,Total Expenses,4087000.0,4087000.0,3841000.0,3522000.0,3468000.0
17,Net Income from Continuing & Discontinued Operation,3024000.0,3024000.0,2339000.0,2123000.0,1958000.0
18,Normalized Income,3002048.0,3002048.0,2546240.0,2099420.0,1958000.0
19,Interest Expense,119000.0,119000.0,141000.0,198000.0,134000.0
20,Net Interest Income,119000.0,119000.0,141000.0,198000.0,134000.0
21,EBIT,4283000.0,4283000.0,3369000.0,3128000.0,2815000.0
22,EBITDA,4461000.0,0,0,0,0
23,Reconciled Cost of Revenue,2195000.0,2195000.0,2092000.0,1801000.0,1701000.0
24,Reconciled Depreciation,178000.0,178000.0,206000.0,204000.0,206000.0
25,Net Income from Continuing Operation Net Minority Interest,3024000.0,3024000.0,2339000.0,2123000.0,1958000.0
26,Total Unusual Items Excluding Goodwill,28000.0,28000.0,264000.0,30000.0,0.0
27,Total Unusual Items,28000.0,28000.0,264000.0,30000.0,0.0
28,Normalized EBITDA,4433000.0,4433000.0,3839000.0,3302000.0,3021000.0
29,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
30,Tax Effect of Unusual Items,6048.0,6048.0,56760.0,6420.0,0.0
