,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,15617200.0,15617200.0,14534600.0,14442200.0,13982400.0
1,Cost of Revenue,10423000.0,10423000.0,9566700.0,9636700.0,9131300.0
2,Gross Profit,5194200.0,5194200.0,4967900.0,4805500.0,4851100.0
3,Operating Expense,3430500.0,3430500.0,3352400.0,3290100.0,3458700.0
4,Operating Income,1763700.0,1763700.0,1615500.0,1515400.0,1392400.0
5,Net Non Operating Interest Income Expense,175600.0,175600.0,205100.0,230400.0,209200.0
6,Other Income Expense,52900.0,52900.0,143400.0,155000.0,161100.0
7,Pretax Income,1641000.0,1641000.0,1267000.0,1130000.0,1022100.0
8,Tax Provision,61400.0,61400.0,41400.0,160800.0,416300.0
9,Earnings from Equity Interest Net of Tax,19000.0,19000.0,9100.0,11200.0,0
10,Net Income Common Stockholders,1689200.0,1689200.0,1233800.0,955800.0,605200.0
11,Average Dilution Earnings,12900.0,12900.0,23400.0,0,0
12,Diluted NI Available to Com Stockholders,1676300.0,1676300.0,1210400.0,955800.0,605200.0
13,Basic EPS,0,0,7.85,6.44,4.33
14,Diluted EPS,0,0,7.77,6.35,4.26
15,Basic Average Shares,0,0,154176.0,148365.0,148919.0
16,Diluted Average Shares,0,0,155861.0,150558.0,151643.0
17,Total Operating Income as Reported,1816600.0,1816600.0,1472100.0,1360400.0,1282100.0
18,Total Expenses,13853500.0,13853500.0,12919100.0,12926800.0,12590000.0
19,Net Income from Continuing & Discontinued Operation,1689200.0,1689200.0,1233800.0,955800.0,605200.0
20,Normalized Income,1614841.0,1614841.0,1372468.0,1088790.0,722803.0
21,Interest Income,9800.0,9800.0,18000.0,53900.0,68700.0
22,Interest Expense,185400.0,185400.0,223100.0,284300.0,277900.0
23,Net Interest Income,175600.0,175600.0,205100.0,230400.0,209200.0
24,EBIT,1826400.0,1826400.0,1490100.0,1414300.0,1300000.0
25,EBITDA,2403500.0,0,0,0,0
26,Reconciled Cost of Revenue,10423000.0,10423000.0,9566700.0,9636700.0,9131300.0
27,Reconciled Depreciation,577100.0,577100.0,578100.0,560200.0,506500.0
28,Net Income from Continuing Operation Net Minority Interest,1600300.0,1600300.0,1233800.0,955800.0,605200.0
29,Total Unusual Items Excluding Goodwill,15100.0,15100.0,143400.0,155000.0,161100.0
30,Total Unusual Items,15100.0,15100.0,143400.0,155000.0,161100.0
31,Normalized EBITDA,2418600.0,2418600.0,2211600.0,2129500.0,1967600.0
32,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
33,Tax Effect of Unusual Items,558.7,558.7,4732.0,22010.0,43497.0
