,Breakdown,ttm,9/30/2021,9/30/2020,9/30/2019,9/30/2018
0,Total Revenue,5109500.0,5109100.0,3355700.0,3376800.0,3868000.0
1,Cost of Revenue,2644100.0,2596700.0,1742800.0,1773000.0,1917300.0
2,Gross Profit,2465400.0,2512400.0,1612900.0,1603800.0,1950700.0
3,Operating Expense,966200.0,890800.0,707300.0,645000.0,630600.0
4,Operating Income,1499200.0,1621600.0,905600.0,958800.0,1320100.0
5,Net Non Operating Interest Income Expense,23200.0,12200.0,0,0,0
6,Other Income Expense,12100.0,10700.0,13900.0,2200.0,12000.0
7,Pretax Income,1463900.0,1598700.0,891700.0,961000.0,1332100.0
8,Tax Provision,75000.0,100400.0,76900.0,107400.0,413700.0
9,Net Income Common Stockholders,1388900.0,1498300.0,814800.0,853600.0,918400.0
10,Diluted NI Available to Com Stockholders,1388900.0,1498300.0,814800.0,853600.0,918400.0
11,Basic EPS,0,9.07,4.84,4.92,5.06
12,Diluted EPS,0,8.97,4.8,4.89,5.01
13,Basic Average Shares,0,165200.0,168500.0,173500.0,181300.0
14,Diluted Average Shares,0,167000.0,169900.0,174500.0,183200.0
15,Total Operating Income as Reported,1487900.0,1612700.0,891800.0,952000.0,1319300.0
16,Total Expenses,3610300.0,3487500.0,2450100.0,2418000.0,2547900.0
17,Net Income from Continuing & Discontinued Operation,1388900.0,1498300.0,814800.0,853600.0,918400.0
18,Normalized Income,1399526.0,1506546.0,827413.0,859638.0,918951.0
19,Interest Income,0,1200.0,0,0,0
20,Interest Expense,24400.0,13400.0,0,0,0
21,Net Interest Income,23200.0,12200.0,0,0,0
22,EBIT,1488300.0,1612100.0,905600.0,958800.0,1320100.0
23,EBITDA,2020100.0,0,0,0,0
24,Reconciled Cost of Revenue,2178800.0,2196000.0,1390300.0,1424000.0,1636400.0
25,Reconciled Depreciation,531800.0,436700.0,364300.0,371600.0,299200.0
26,Net Income from Continuing Operation Net Minority Interest,1388900.0,1498300.0,814800.0,853600.0,918400.0
27,Total Unusual Items Excluding Goodwill,11200.0,8800.0,13800.0,6800.0,800.0
28,Total Unusual Items,11200.0,8800.0,13800.0,6800.0,800.0
29,Normalized EBITDA,2031300.0,2057600.0,1283700.0,1337200.0,1620100.0
30,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
31,Tax Effect of Unusual Items,573.8097,554.4,1187.0,761.6,248.8
