,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,3702881.0,3702881.0,3121469.0,2294965.0,2100802.0
1,Cost of Revenue,1496225.0,1496225.0,1335728.0,955136.0,880408.0
2,Gross Profit,2206656.0,2206656.0,1785741.0,1339829.0,1220394.0
3,Operating Expense,996624.0,996624.0,870536.0,800055.0,731365.0
4,Operating Income,1210032.0,1210032.0,915205.0,539774.0,489029.0
5,Net Non Operating Interest Income Expense,15193.0,15193.0,18200.0,1640.0,4565.0
6,Other Income Expense,33872.0,33872.0,4010.0,15642.0,16663.0
7,Pretax Income,1160955.0,1160955.0,901015.0,525772.0,467801.0
8,Tax Provision,146366.0,146366.0,116868.0,58304.0,16022.0
9,Net Income Common Stockholders,1014589.0,1014589.0,784147.0,467468.0,451779.0
10,Diluted NI Available to Com Stockholders,1014589.0,1014589.0,784147.0,467468.0,451779.0
11,Basic EPS,0,0,4.72,2.81,2.41
12,Diluted EPS,0,0,4.28,2.67,2.35
13,Basic Average Shares,0,0,166120.0,170425.0,187672.0
14,Diluted Average Shares,0,0,183042.0,179459.0,192605.0
15,Total Operating Income as Reported,1200720.0,1200720.0,928407.0,553654.0,473797.0
16,Total Expenses,2492849.0,2492849.0,2206264.0,1755191.0,1611773.0
17,Net Income from Continuing & Discontinued Operation,1014589.0,1014589.0,784147.0,467468.0,451779.0
18,Normalized Income,1010044.0,1010044.0,772661.0,455129.0,466493.0
19,Interest Income,2627.0,2627.0,5982.0,24785.0,26704.0
20,Interest Expense,17820.0,17820.0,24182.0,23145.0,31269.0
21,Net Interest Income,15193.0,15193.0,18200.0,1640.0,4565.0
22,EBIT,1178775.0,1178775.0,925197.0,548917.0,499070.0
23,EBITDA,1304260.0,0,0,0,0
24,Reconciled Cost of Revenue,1392196.0,1392196.0,1239788.0,874628.0,806375.0
25,Reconciled Depreciation,125485.0,125485.0,126743.0,120655.0,113224.0
26,Net Income from Continuing Operation Net Minority Interest,1014589.0,1014589.0,784147.0,467468.0,451779.0
27,Total Unusual Items Excluding Goodwill,5200.0,5200.0,13202.0,13880.0,15232.0
28,Total Unusual Items,5200.0,5200.0,13202.0,13880.0,15232.0
29,Normalized EBITDA,1299060.0,1299060.0,1038738.0,655692.0,627526.0
30,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
31,Tax Effect of Unusual Items,655.2,655.2,1716.0,1541.0,517.888
