,Breakdown,ttm,1/31/2022,1/31/2021,1/31/2020,1/31/2019
0,Total Revenue,48549982.0,48549982.0,32136962.0,41716977.0,38972934.0
1,Cost of Revenue,34713812.0,34713812.0,24533815.0,29845780.0,27831177.0
2,Gross Profit,13836170.0,13836170.0,7603147.0,11871197.0,11141757.0
3,Operating Expense,9081238.0,9081238.0,7020917.0,7454988.0,6923564.0
4,Operating Income,4754932.0,4754932.0,582230.0,4416209.0,4218193.0
5,Net Non Operating Interest Income Expense,115076.0,115076.0,180734.0,10026.0,8860.0
6,Other Income Expense,242248.0,242248.0,312233.0,0,36122.0
7,Pretax Income,4397608.0,4397608.0,89263.0,4406183.0,4173211.0
8,Tax Provision,1114793.0,1114793.0,1207.0,1133990.0,1113413.0
9,Net Income Common Stockholders,3282815.0,3282815.0,90470.0,3272193.0,3059798.0
10,Diluted NI Available to Com Stockholders,3282815.0,3282815.0,90470.0,3272193.0,3059798.0
11,Basic EPS,0,0,0.08,2.72,2.48
12,Diluted EPS,0,0,0.07,2.67,2.43
13,Basic Average Shares,0,0,1204698.0,1199100.0,1217183.0
14,Diluted Average Shares,0,0,1214703.0,1226519.0,1259252.0
15,Total Expenses,43795050.0,43795050.0,31554732.0,37300768.0,34754741.0
16,Net Income from Continuing & Discontinued Operation,3282815.0,3282815.0,90470.0,3272193.0,3059798.0
17,Normalized Income,3463653.0,3463653.0,318400.0,3272193.0,3086275.0
18,Interest Income,0,0,12920.0,49060.0,55979.0
19,Interest Expense,115076.0,115076.0,193654.0,59086.0,64839.0
20,Net Interest Income,115076.0,115076.0,180734.0,10026.0,8860.0
21,EBIT,4512684.0,4512684.0,282917.0,4465269.0,4238050.0
22,EBITDA,5380684.0,0,0,0,0
23,Reconciled Cost of Revenue,34713812.0,34713812.0,24533815.0,29845780.0,27831177.0
24,Reconciled Depreciation,868000.0,868000.0,870758.0,867303.0,819655.0
25,Net Income from Continuing Operation Net Minority Interest,3282815.0,3282815.0,90470.0,3272193.0,3059798.0
26,Total Unusual Items Excluding Goodwill,242248.0,242248.0,312233.0,0.0,36122.0
27,Total Unusual Items,242248.0,242248.0,312233.0,0.0,36122.0
28,Normalized EBITDA,5622932.0,5622932.0,1465908.0,5332572.0,5093827.0
29,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
30,Tax Effect of Unusual Items,61410.0,61410.0,84303.0,0.0,9645.0
