,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,34816000.0,34816000.0,31981000.0,31581000.0,30282000.0
1,Total Expenses,30358000.0,30358000.0,28744000.0,28443000.0,27321000.0
2,Pretax Income,4458000.0,4458000.0,3237000.0,3138000.0,2961000.0
3,Tax Provision,796000.0,796000.0,540000.0,516000.0,438000.0
4,Net Income Common Stockholders,3635000.0,3635000.0,2678000.0,2603000.0,2504000.0
5,Diluted NI Available to Com Stockholders,3635000.0,3635000.0,2678000.0,2603000.0,2504000.0
6,Basic EPS,0,0,10.56,10.01,9.02
7,Diluted EPS,0,0,10.52,9.92,8.94
8,Basic Average Shares,0,0,253500.0,260000.0,267400.0
9,Diluted Average Shares,0,0,254600.0,262300.0,269800.0
10,Net Income from Continuing & Discontinued Operation,3662000.0,3662000.0,2697000.0,2622000.0,2523000.0
11,Normalized Income,3662000.0,3662000.0,2697000.0,2622000.0,2523000.0
12,EBIT,4798000.0,4798000.0,3576000.0,3482000.0,3313000.0
13,Reconciled Depreciation,870000.0,870000.0,789000.0,763000.0,803000.0
14,Net Income from Continuing Operation Net Minority Interest,3662000.0,3662000.0,2697000.0,2622000.0,2523000.0
15,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
16,Tax Effect of Unusual Items,0.0,0.0,0.0,0.0,0.0
17,Interest Expense,340000.0,340000.0,339000.0,344000.0,352000.0
