,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,12731105.0,12731105.0,10620352.0,8351931.0,7911046.0
1,Cost of Revenue,8253952.0,8253952.0,6858803.0,5480161.0,5208518.0
2,Gross Profit,4477153.0,4477153.0,3761549.0,2871770.0,2702528.0
3,Operating Expense,3170455.0,3170455.0,2695648.0,2128550.0,2000791.0
4,Operating Income,1306698.0,1306698.0,1065901.0,743220.0,701737.0
5,Net Non Operating Interest Income Expense,26610.0,26610.0,28781.0,19843.0,18352.0
6,Other Income Expense,0,0,68973.0,0,0
7,Pretax Income,1280088.0,1280088.0,968147.0,723377.0,683385.0
8,Tax Provision,282974.0,282974.0,219189.0,161023.0,151028.0
9,Net Income Common Stockholders,997114.0,997114.0,748958.0,562354.0,532357.0
10,Average Dilution Earnings,0.0,0.0,0,0,0
11,Diluted NI Available to Com Stockholders,997114.0,997114.0,748958.0,562354.0,532357.0
12,Basic EPS,0,0,6.44,4.7,4.34
13,Diluted EPS,0,0,6.38,4.66,4.31
14,Basic Average Shares,0,0,116370.0,119727.0,122651.0
15,Diluted Average Shares,0,0,117436.0,120743.0,123471.0
16,Total Operating Income as Reported,1306698.0,1306698.0,996928.0,743220.0,701737.0
17,Total Expenses,11424407.0,11424407.0,9554451.0,7608711.0,7209309.0
18,Net Income from Continuing & Discontinued Operation,997114.0,997114.0,748958.0,562354.0,532357.0
19,Normalized Income,997114.0,997114.0,802343.0,562354.0,532357.0
20,Interest Expense,26610.0,26610.0,28781.0,19843.0,18352.0
21,Net Interest Income,26610.0,26610.0,28781.0,19843.0,18352.0
22,EBIT,1306698.0,1306698.0,996928.0,743220.0,701737.0
23,EBITDA,1576856.0,0,0,0,0
24,Reconciled Cost of Revenue,8253952.0,8253952.0,6858803.0,5480161.0,5208518.0
25,Reconciled Depreciation,270158.0,270158.0,217124.0,195978.0,177351.0
26,Net Income from Continuing Operation Net Minority Interest,997114.0,997114.0,748958.0,562354.0,532357.0
27,Total Unusual Items Excluding Goodwill,0.0,0.0,68973.0,0,0
28,Total Unusual Items,0.0,0.0,68973.0,0,0
29,Normalized EBITDA,1576856.0,1576856.0,1283025.0,939198.0,879088.0
30,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
31,Tax Effect of Unusual Items,0.0,0.0,15588.0,0.0,0.0
