,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,12642117.0,12642117.0,11558897.0,11378259.0,10772278.0
1,Cost of Revenue,1427134.0,1427134.0,1288132.0,1251346.0,1168654.0
2,Gross Profit,11214983.0,11214983.0,10270765.0,10126913.0,9603624.0
3,Operating Expense,9851889.0,9851889.0,8912411.0,8911005.0,8428362.0
4,Operating Income,1363094.0,1363094.0,1358354.0,1215908.0,1175262.0
5,Net Non Operating Interest Income Expense,83672.0,83672.0,106285.0,166133.0,161682.0
6,Other Income Expense,13891.0,13891.0,14.0,16562.0,20945.0
7,Pretax Income,1293313.0,1293313.0,1252083.0,1066337.0,1034525.0
8,Tax Provision,305681.0,305681.0,299293.0,238794.0,236642.0
9,Net Income Common Stockholders,989531.0,989531.0,940972.0,812826.0,778614.0
10,Diluted NI Available to Com Stockholders,989531.0,989531.0,940972.0,812826.0,778614.0
11,Basic EPS,0,0,11.06,9.16,8.35
12,Diluted EPS,0,0,10.99,9.13,8.31
13,Basic Average Shares,0,0,85061.0,88762.0,93276.0
14,Diluted Average Shares,0,0,85587.0,89040.0,93750.0
15,Total Operating Income as Reported,1363094.0,1363094.0,1358354.0,1215908.0,1175262.0
16,Rent Expense Supplemental,118863.0,118863.0,116059.0,107809.0,106094.0
17,Total Expenses,11279023.0,11279023.0,10200543.0,10162351.0,9597016.0
18,Net Income from Continuing & Discontinued Operation,991590.0,991590.0,943953.0,814854.0,779705.0
19,Normalized Income,991590.0,991590.0,943953.0,812216.0,774519.0
20,Interest Income,1596.0,1596.0,2804.0,469.0,1531.0
21,Interest Expense,80958.0,80958.0,104151.0,161484.0,154070.0
22,Net Interest Income,83672.0,83672.0,106285.0,166133.0,161682.0
23,EBIT,1374271.0,1374271.0,1356234.0,1227821.0,1188595.0
24,EBITDA,1907484.0,0,0,0,0
25,Reconciled Cost of Revenue,1427134.0,1427134.0,1288132.0,1251346.0,1168623.0
26,Reconciled Depreciation,533213.0,533213.0,510493.0,490392.0,453076.0
27,Net Income from Continuing Operation Net Minority Interest,991590.0,991590.0,943953.0,814854.0,779705.0
28,Total Unusual Items Excluding Goodwill,5923.0,0,0,3400.0,6726.0
29,Total Unusual Items,5923.0,0,0,3400.0,6726.0
30,Normalized EBITDA,1907484.0,1907484.0,1866727.0,1714813.0,1634945.0
31,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
32,Tax Effect of Unusual Items,0.0,0.0,0.0,761.6,1540.0
