,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,285273000.0,285273000.0,255639000.0,240269000.0,224871000.0
1,Cost of Revenue,217945000.0,217945000.0,190141000.0,184557000.0,172401000.0
2,Gross Profit,67328000.0,67328000.0,65498000.0,55712000.0,52470000.0
3,Operating Expense,45682000.0,45682000.0,44595000.0,37913000.0,36502000.0
4,Operating Income,21646000.0,21646000.0,20903000.0,17799000.0,15968000.0
5,Net Non Operating Interest Income Expense,1660000.0,1660000.0,1663000.0,1704000.0,1400000.0
6,Other Income Expense,2324000.0,2324000.0,1502000.0,1886000.0,1376000.0
7,Pretax Income,22310000.0,22310000.0,20742000.0,17981000.0,15944000.0
8,Tax Provision,4578000.0,4578000.0,4973000.0,3742000.0,3562000.0
9,Net Income Common Stockholders,17285000.0,17285000.0,15403000.0,13839000.0,11986000.0
10,Diluted NI Available to Com Stockholders,17285000.0,17285000.0,15403000.0,13839000.0,11986000.0
11,Basic EPS,0,0,16.28,14.6,12.49
12,Diluted EPS,0,0,16.03,14.33,12.19
13,Basic Average Shares,0,0,946000.0,948000.0,960000.0
14,Diluted Average Shares,0,0,961000.0,966000.0,983000.0
15,Total Operating Income as Reported,23970000.0,23970000.0,22405000.0,19685000.0,17344000.0
16,Total Expenses,263627000.0,263627000.0,234736000.0,222470000.0,208903000.0
17,Net Income from Continuing & Discontinued Operation,17285000.0,17285000.0,15403000.0,13839000.0,11986000.0
18,Normalized Income,15437420.0,15437420.0,14259978.0,12345288.0,10916848.0
19,Interest Expense,1660000.0,1660000.0,1663000.0,1704000.0,1400000.0
20,Net Interest Income,1660000.0,1660000.0,1663000.0,1704000.0,1400000.0
21,EBIT,23970000.0,23970000.0,22405000.0,19685000.0,17344000.0
22,EBITDA,27073000.0,0,0,0,0
23,Reconciled Cost of Revenue,217945000.0,217945000.0,190141000.0,184557000.0,172401000.0
24,Reconciled Depreciation,3103000.0,3103000.0,2891000.0,2720000.0,2428000.0
25,Net Income from Continuing Operation Net Minority Interest,17285000.0,17285000.0,15403000.0,13839000.0,11986000.0
26,Total Unusual Items Excluding Goodwill,2324000.0,2324000.0,1502000.0,1886000.0,1376000.0
27,Total Unusual Items,2324000.0,2324000.0,1502000.0,1886000.0,1376000.0
28,Normalized EBITDA,24749000.0,24749000.0,23794000.0,20519000.0,18396000.0
29,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
30,Tax Effect of Unusual Items,476420.0,476420.0,358978.0,392288.0,306848.0
