,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,7574400.0,7574400.0,6205683.0,4162821.0,3047597.0
1,Cost of Revenue,904200.0,904200.0,736300.0,547758.0,409539.0
2,Gross Profit,6670200.0,6670200.0,5469383.0,3615063.0,2638058.0
3,Operating Expense,3891200.0,3891200.0,2599993.0,2413038.0,1974092.0
4,Operating Income,2779000.0,2779000.0,2869390.0,1202025.0,663966.0
5,Net Non Operating Interest Income Expense,56600.0,56600.0,35912.0,5176.0,34119.0
6,Other Income Expense,8000.0,8000.0,283320.0,187718.0,29606.0
7,Pretax Income,2730400.0,2730400.0,3116798.0,1394919.0,600241.0
8,Tax Provision,388300.0,388300.0,405151.0,218109.0,1486862.0
9,Net Income Common Stockholders,2342100.0,2342100.0,2711647.0,1176810.0,2096395.0
10,Average Dilution Earnings,0,0,0.0,0.0,9.0
11,Diluted NI Available to Com Stockholders,2342100.0,2342100.0,2711647.0,1176810.0,2096404.0
12,Basic EPS,0,0,10.44,4.58,8.24
13,Diluted EPS,0,0,10.29,4.51,8.09
14,Basic Average Shares,0,0,259841.0,256728.0,254292.0
15,Diluted Average Shares,0,0,263396.0,260673.0,259185.0
16,Total Operating Income as Reported,2782100.0,2782100.0,2856290.0,1197566.0,635150.0
17,Total Expenses,4795400.0,4795400.0,3336293.0,2960796.0,2383631.0
18,Net Income from Continuing & Discontinued Operation,2342100.0,2342100.0,2711647.0,1176810.0,2096896.0
19,Normalized Income,2339434.0,2339434.0,2723044.0,1180572.0,2117932.0
20,Interest Income,4900.0,4900.0,22239.0,63678.0,0
21,Interest Expense,61500.0,61500.0,58151.0,58502.0,34119.0
22,Net Interest Income,56600.0,56600.0,35912.0,5176.0,34119.0
23,EBIT,2791900.0,2791900.0,3174949.0,1453421.0,634360.0
24,EBITDA,2917500.0,0,0,0,0
25,Reconciled Cost of Revenue,904200.0,904200.0,736300.0,547758.0,409539.0
26,Reconciled Depreciation,125600.0,125600.0,109515.0,106941.0,72420.0
27,Net Income from Continuing Operation Net Minority Interest,2342100.0,2342100.0,2711647.0,1176810.0,2096896.0
28,Total Unusual Items Excluding Goodwill,3100.0,3100.0,13100.0,4459.0,28816.0
29,Total Unusual Items,3100.0,3100.0,13100.0,4459.0,28816.0
30,Normalized EBITDA,2914400.0,2914400.0,3297564.0,1564821.0,735596.0
31,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
32,Tax Effect of Unusual Items,434.0,434.0,1703.0,697.2075,7780.0
