,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,3828007.0,3828007.0,3795357.0,3872750.0,3745810.0
1,Cost of Revenue,2088497.0,2088497.0,1939758.0,1810527.0,1691298.0
2,Gross Profit,1739510.0,1739510.0,1855599.0,2062223.0,2054512.0
3,Operating Expense,1318079.0,1318079.0,1264159.0,1211616.0,1071621.0
4,Operating Income,421431.0,421431.0,591440.0,850607.0,982891.0
5,Net Non Operating Interest Income Expense,440089.0,440089.0,469541.0,451662.0,442497.0
6,Other Income Expense,80044.0,80044.0,222752.0,15958.0,164356.0
7,Pretax Income,61386.0,61386.0,344651.0,382987.0,376038.0
8,Tax Provision,4827.0,4827.0,96534.0,56310.0,39953.0
9,Net Income Common Stockholders,49008.0,49008.0,439149.0,433016.0,409467.0
10,Diluted NI Available to Com Stockholders,49008.0,49008.0,439149.0,433016.0,409467.0
11,Basic EPS,0,0,1.18,1.18,1.15
12,Diluted EPS,0,0,1.17,1.17,1.14
13,Basic Average Shares,0,0,373368.0,365977.0,356265.0
14,Diluted Average Shares,0,0,376503.0,369886.0,359301.0
15,Total Expenses,3406576.0,3406576.0,3203917.0,3022143.0,2762919.0
16,Net Income from Continuing & Discontinued Operation,49008.0,49008.0,439149.0,433016.0,409467.0
17,Normalized Income,54343.0,54343.0,277370.0,455728.0,440541.0
18,Interest Income,0,0,7609.0,10984.0,24892.0
19,Interest Expense,440089.0,440089.0,469541.0,451662.0,442497.0
20,Net Interest Income,440089.0,440089.0,469541.0,451662.0,442497.0
21,EBIT,501475.0,501475.0,814192.0,834649.0,818535.0
22,EBITDA,1698878.0,0,0,0,0
23,Reconciled Cost of Revenue,2088497.0,2088497.0,1939758.0,1810527.0,1691298.0
24,Reconciled Depreciation,1197403.0,1197403.0,1109763.0,1045620.0,919639.0
25,Net Income from Continuing Operation Net Minority Interest,49008.0,49008.0,439149.0,433016.0,409477.0
26,Total Unusual Items Excluding Goodwill,112171.0,112171.0,221615.0,31113.0,42554.0
27,Total Unusual Items,112171.0,112171.0,221615.0,31113.0,42554.0
28,Normalized EBITDA,1586707.0,1586707.0,1702340.0,1911382.0,1780728.0
29,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
30,Tax Effect of Unusual Items,8820.0,8820.0,59836.0,8401.0,11490.0
