,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Revenue,17886300.0,17886300.0,11946000.0,11500500.0,11433900.0
1,Cost of Revenue,12310800.0,12310800.0,8149300.0,7602900.0,7432300.0
2,Gross Profit,5575500.0,5575500.0,3796700.0,3897600.0,4001600.0
3,Operating Expense,5280300.0,5280300.0,3899700.0,3203500.0,3145500.0
4,Operating Income,295200.0,295200.0,103000.0,694100.0,856100.0
5,Net Non Operating Interest Income Expense,636200.0,636200.0,497800.0,517300.0,542300.0
6,Other Income Expense,323400.0,323400.0,120300.0,22400.0,15400.0
7,Pretax Income,664400.0,664400.0,721200.0,154400.0,298400.0
8,Tax Provision,604700.0,604700.0,51300.0,137600.0,54100.0
9,Net Income Common Stockholders,1269100.0,1269100.0,669900.0,16800.0,352500.0
10,Diluted NI Available to Com Stockholders,1269100.0,1269100.0,669900.0,16800.0,352500.0
11,Basic EPS,0,0,1.11,0.03,0.69
12,Diluted EPS,0,0,1.11,0.03,0.68
13,Basic Average Shares,0,0,601200.0,515700.0,514500.0
14,Diluted Average Shares,0,0,601200.0,516500.0,516500.0
15,Total Operating Income as Reported,34000.0,34000.0,210800.0,715500.0,905600.0
16,Total Expenses,17591100.0,17591100.0,12049000.0,10806400.0,10577800.0
17,Net Income from Continuing & Discontinued Operation,1269100.0,1269100.0,669900.0,16800.0,352500.0
18,Normalized Income,1028784.0,1028784.0,567710.0,5684.0,301765.0
19,Interest Expense,636200.0,636200.0,497800.0,517300.0,542300.0
20,Net Interest Income,636200.0,636200.0,497800.0,517300.0,542300.0
21,EBIT,28200.0,28200.0,223400.0,671700.0,840700.0
22,EBITDA,4478300.0,0,0,0,0
23,Reconciled Cost of Revenue,12310800.0,12310800.0,8149300.0,7602900.0,7432300.0
24,Reconciled Depreciation,4506500.0,4506500.0,2216100.0,2019300.0,2109900.0
25,Net Income from Continuing Operation Net Minority Interest,1269100.0,1269100.0,669900.0,16800.0,352500.0
26,Total Unusual Items Excluding Goodwill,329200.0,329200.0,110000.0,30800.0,69500.0
27,Total Unusual Items,329200.0,329200.0,110000.0,30800.0,69500.0
28,Normalized EBITDA,4807500.0,4807500.0,2102700.0,2660200.0,2881100.0
29,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
30,Tax Effect of Unusual Items,88884.0,88884.0,7810.0,8316.0,18765.0
