,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,8138673,7764130,7006886,5461770.0
1,Total Liabilities Net Minority Interest,3608659,3512834,3348928,2269910.0
2,Total Equity Gross Minority Interest,4530014,4251296,3657958,3191860.0
3,Total Capitalization,6506181,6158003,5497749,4065940.0
4,Common Stock Equity,4530014,4251296,3657958,3191860.0
5,Capital Lease Obligations,882770,870205,831644,0
6,Net Tangible Assets,2060535,2342201,1878262,1536108.0
7,Working Capital,1130093,1171361,1538277,1324645.0
8,Invested Capital,1976167,6158003,5497749,4752492.0
9,Tangible Book Value,2060535,2342201,1878262,1536108.0
10,Total Debt,2858937,2776912,2671435,1560632.0
11,Net Debt,1439442,1553790,1446046,524177.0
12,Share Issued,165221,164673,165953,162905.0
13,Ordinary Shares Number,160512,162710,162001,162905.0
14,Treasury Shares Number,4709,1963,3952,0
