,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,99440000,125987000,119950000,112249000
1,Total Liabilities Net Minority Interest,74313000,95770000,93952000,90937000
2,Total Equity Gross Minority Interest,25127000,30217000,25998000,21312000
3,Total Capitalization,33155000,38042000,32629000,27763000
4,Preferred Stock Equity,1970000,1970000,2248000,1930000
5,Common Stock Equity,23209000,28247000,23750000,19382000
6,Net Tangible Assets,20257000,27220000,22972000,18069000
7,Invested Capital,31185000,36072000,30381000,25833000
8,Tangible Book Value,18287000,25250000,20724000,16139000
9,Total Debt,7976000,7825000,6631000,6451000
10,Net Debt,7213000,7448000,6293000,5952000
11,Share Issued,900000,900000,900000,900000
12,Ordinary Shares Number,281000,304000,319000,332000
13,Preferred Shares Number,81000,81000,81000,56800
14,Treasury Shares Number,619000,596000,581000,568000
