,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,175979000.0,165883000.0,151828000,137216000
1,Total Liabilities Net Minority Interest,170294000.0,160016000.0,146099000,131628000
2,Total Equity Gross Minority Interest,5685000.0,5867000.0,5729000,5588000
3,Total Capitalization,10641000.0,10567000.0,10397000,10173000
4,Common Stock Equity,5685000.0,5867000.0,5729000,5588000
5,Capital Lease Obligations,40000.0,44000.0,57000,25000
6,Net Tangible Assets,5685000.0,5867000.0,5729000,5588000
7,Invested Capital,10841000.0,10767000.0,10598000,10374000
8,Tangible Book Value,5685000.0,5867000.0,5729000,5588000
9,Total Debt,5196000.0,4944000.0,4926000,4811000
10,Net Debt,0,0,1042000,1689000
11,Share Issued,110900.0,332390.0,329843,328537
12,Ordinary Shares Number,110900.0,116766.0,123939,136331
13,Treasury Shares Number,0,215625.0,205904,192206
