,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,6324314,5940590,4838887,3265964.0
1,Total Liabilities Net Minority Interest,1840266,1842718,1385508,616417.0
2,Total Equity Gross Minority Interest,4484048,4097872,3453379,2649547.0
3,Total Capitalization,5237624,4895990,3876910,2649547.0
4,Common Stock Equity,4484048,4097872,3453379,2649547.0
5,Capital Lease Obligations,104378,120940,91768,0
6,Net Tangible Assets,311658,364701,563388,865820.0
7,Working Capital,860082,990412,860340,786410.0
8,Invested Capital,5237624,4895990,3951910,2649547.0
9,Tangible Book Value,311658,364701,563388,865820.0
10,Total Debt,857954,919058,590299,0
11,Net Debt,85909,798118,423531,0
12,Share Issued,95267,95266,94628,93236.0
13,Ordinary Shares Number,87079,86573,85734,83634.0
14,Treasury Shares Number,8188,8694,8893,9602.0
