,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,97460000,86615000,77453000,71571000
1,Total Liabilities Net Minority Interest,61332000,53416000,45725000,43030000
2,Total Equity Gross Minority Interest,36128000,33199000,31728000,28541000
3,Total Capitalization,57217000,52534000,49515000,45758000
4,Common Stock Equity,36060000,33199000,31728000,28541000
5,Net Tangible Assets,1217000,2103000,2554000,970000
6,Invested Capital,59091000,53234000,51813000,47752000
7,Tangible Book Value,1217000,2103000,2554000,970000
8,Total Debt,23031000,20035000,20085000,19211000
9,Net Debt,18151000,14294000,15148000,15277000
10,Share Issued,241771,245401,252922,257396
11,Ordinary Shares Number,241771,245401,252922,257396
